StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,Complexity
PCTSKBFIBUMUSL-UHFFFAOYSA-N,Cl[P](Cl)(Cl)=N[S](=O)(=O)c1ccc2ccccc2c1,Train,-0.778874472,342.57,131.0,205.90099999999998,-2710.613214,-2710.619056,-0.00584179,-2710.504004,-2710.509669,-0.005665,-2672.9385780000002,-2672.9555800000003,-0.01700164,-2672.802263,-2672.8195530000003,-0.01729,4.3407,5.0918,-0.2422,-0.11295,0.06737,0.08329,495.9848022,-1.89335,-1.91491,-1.3039,2.32595,0.11422,25,21898.5,35510.5,39670.0,0.537132449,0.544208445,0.919326875,8,-33.1140701,-171.35156619999998,138.2374961,3903,0.028109522,0.004308805,1078.311656129494
PDLXUMBZNQXZBK-VZUCSPMQSA-N,CCOC(=O)C(C)(N=[N+]=[N-])C(C)=NNC(N)=O,Train,0.13863603900000002,242.238,122.0,167.111,-867.4350765,-867.4434311000001,-0.00835466,-867.241101,-867.2494539999999,-0.008353,-851.2053597000001,-851.2139507000002,-0.008590949,-850.965102,-850.9767099999999,-0.011608,3.4577,3.8889,-0.25293000000000004,-0.05594,0.12437999999999999,0.09402,454.899231,-1.8497299999999999,-0.44101999999999997,-0.8820600000000001,0.8271799999999999,-3.6680699999999997,31,26740.5,30683.0,33186.5,0.7065329379999999,0.7551381140000001,0.812135342,6,109.2609652,-164.6591608,273.92012610000006,7324,0.032283541,0.008478309,780.3909448874145
PDRGHUMCVRDZLQ-WMZOPIPTSA-N,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,Test,-2.3689889369999997,266.34,258.0,223.04,-847.2443532,-847.2505718,-0.006218626,-846.969324,-846.975497,-0.006173,-831.5125301,-831.5305717,-0.018041546000000002,-831.18005,-831.1977919999999,-0.017741999999999997,2.1008,2.3073,-0.21268,-0.05256,0.12775999999999998,0.053770000000000005,474.1652527,-1.2911,-3.5141400000000003,-0.7136,0.62738,-1.2911,38,20049.0,29686.0,43884.0,0.47594276700000004,0.5907830829999999,0.890144443,9,28.07272108,-124.67302269999999,152.7457438,2246,0.038779186,0.019681884,1442.0473492668193
PDZIFGIQUYFQGK-UHFFFAOYSA-N,O=C1CCCc2c1[nH]c3ccccc23,Test,-0.768892997,185.225,170.0,131.888,-593.9230882999999,-593.9276007,-0.004512412,-593.7545759999999,-593.759261,-0.004685,-582.8669489,-582.8805366,-0.013587633,-582.664418,-582.678308,-0.013890000000000001,2.5799,3.0417,-0.22213000000000002,-0.06754,0.11277999999999999,0.06322,381.00576780000006,-0.60937,-1.8504,-0.60937,0.53561,-1.1434600000000001,25,15658.0,21798.0,34512.0,0.49095939899999996,0.691699605,0.7194899440000001,7,26.10669716,-87.94270777,114.04940490000001,1725,-0.048300786,0.013624447,958.3477248881785
PEGCITODQASXKH-UHFFFAOYSA-N,C[P](=O)(c1ccccc1)c2ccccc2,Train,-0.17839989,216.21900000000002,111.0,145.685,-919.8423607999999,-919.8483697,-0.006008881,-919.659675,-919.6651710000001,-0.005496,-904.4635707,-904.4781249,-0.014554228,-904.246176,-904.25992,-0.013744,4.2589,5.0678,-0.262,-0.04545,0.13487000000000002,0.10309000000000001,431.07763669999997,-1.1195700000000002,-4.21488,-1.1195700000000002,1.98623,0.86666,28,22553.5,30320.5,31364.5,0.638260026,0.666204719,0.898833407,3,16.17557346,-127.5248483,143.70042180000002,5066,0.027854886000000002,0.006151467,910.684390666635
PEJQKHLWXHKKGS-UHFFFAOYSA-N,Cl[P]1(=N[P](=N[P](=N[P](=N1)(Cl)Cl)(Cl)Cl)(Cl)Cl)Cl,Train,-0.392769265,463.546,124.0,218.571,-5266.2091390000005,-5266.211411,-0.00227196,-5266.222422999999,-5266.223779999999,-0.0013570000000000001,-5199.104553,-5199.1223820000005,-0.01782921,-5199.107079,-5199.125589,-0.01851,0.0003,0.0002,-0.29148,-0.09515,0.08517000000000001,0.13257,496.3424683,0.0,0.0,-1.47395,1.8766200000000002,1.67e-16,16,24658.0,24680.5,33693.5,0.762376202,0.771144244,1.0,14,35.17490176,-3.628578282,38.80348004,475,0.031925045,0.007847959,386.1173000519233
PEQHIRFAKIASBK-UHFFFAOYSA-N,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,Test,-1.602648604,320.434,280.0,188.76,-964.7239795,-964.7267127,-0.002733163,-964.4003529999999,-964.4038,-0.003447,-946.6946354,-946.7133752999998,-0.018739898,-946.3104880000001,-946.3291810000001,-0.018693,0.0001,0.0011,-0.23872,-0.03075,0.14957,0.07981,568.0505371,0.0,-4.98436,-0.24518,0.2535,0.0,45,39577.5,39704.0,39720.0,0.871988883,0.8721071890000001,0.980713892,18,-50.87894317,-70.61262153,19.73367837,1118,-0.023573293,0.001882646,1562.8842164285545
PEXWJYDPDXUVSV-BQYQJAHWSA-N,C\C(=C/C(O)=O)c1ccccc1,Train,0.015786616,162.188,97.0,126.271,-537.5609162999999,-537.5648808999999,-0.003964602,-537.4215059999999,-537.425768,-0.004262,-527.5032104,-527.5136805,-0.010470078,-527.335325,-527.345788,-0.010463,2.3724,2.7419,-0.24946,-0.07395,0.10637,0.09055,363.4827576,-1.36732,-1.44824,-0.7285699999999999,0.77784,-1.36732,22,14984.0,21850.5,31786.5,0.426705423,0.633757538,0.641329733,4,22.81128225,-81.00782614,103.8191084,2944,0.0255938,0.003056186,631.6466948324264
PEXWJYDPDXUVSV-FPLPWBNLSA-N,C\C(=C\C(O)=O)c1ccccc1,Train,-0.372644955,162.188,129.0,133.084,-537.5557432,-537.5601931,-0.004449944,-537.4171660000001,-537.422049,-0.004883,-527.5001576999999,-527.5108845,-0.010726761000000001,-527.331491,-527.3423740000001,-0.010883,1.7777,2.1056,-0.24719000000000002,-0.06365,0.11667000000000001,0.08828,364.526123,-1.35398,-1.42239,-0.7289100000000001,0.77755,-1.35398,22,18932.5,22774.5,28951.5,0.605333539,0.744299642,0.778409052,9,-41.15677802,-123.59077260000001,82.43399455,2318,-0.04431987,0.01496826,631.6466948324264
PFVCRIULCASTAH-ZMGSENCKSA-N,CC1(C)C2CC[C@@]1(C)C(=O)\C2=C(/O)c3ccccc3,Train,0.10538808699999999,256.345,88.0,195.39,-810.3083254,-810.3146181,-0.006292631999999999,-810.020414,-810.026797,-0.006383,-795.2339181,-795.2494445,-0.015526369,-794.883628,-794.8988969999999,-0.015269,5.2441,6.1293,-0.22748000000000002,-0.06196,0.11835999999999999,0.06857,474.7589722,-1.2613299999999998,-3.95862,-0.67961,0.57922,-1.2613299999999998,39,23267.0,34575.5,37891.0,0.609761243,0.648977308,0.9729330270000001,3,-28.80165463,-168.901647,140.09999240000002,4243,0.032348648,0.010622732,1256.0153179409274
