"","x"
"PC 1",-0.00402534052814918
"PC 2",0.0995435528659526
"PC 3",0.278622598357234
"PC 4",0.348835191362259
"PC 5",0.387841683173113
"PC 6",0.408828029859764
"PC 7",0.428306505790283
"PC 8",0.440385386567913
"PC 9",0.452872309141186
"PC 10",0.45796741671311
"PC 11",0.460014877474736
"PC 12",0.461060212891927
"PC 13",0.460243102432809
"PC 14",0.460209935734218
"PC 15",0.460236541013536
"PC 16",0.460236545973219
"PC 17",0.460236545973221
