StdInChIKey,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
AAEVYOVXGOFMJO-UHFFFAOYSA-N,6,-74.17425739309958,-171.16527625459955,96.99101886149997,4734,-0.03615658560511186,0.01132203901332187
ABICJYZKIYUWEE-UHFFFAOYSA-N,3,144.21003056460043,-172.57619067689987,316.7862212415003,5042,0.06282947664448638,0.023130593161664402
ADIMAYPTOBDMTL-UHFFFAOYSA-N,4,80.17453682879952,-204.37935200179996,284.5538888305995,7085,0.03804176506269576,0.017338248797527125
