,Number,Area,Mean_charge,Std_charge
1,2,48,0.022788791735416675,0.001764757064192519
0,1,522,0.02669371907681992,0.004169058122465717
3,4,4413,-0.04631301880847495,0.016183971224402727
2,3,7085,0.038041765062695757,0.017338248797527125
