,Number,Area,Mean_charge,Std_charge
0,1,30,0.020262404180000002,0.0001534903145476664
1,2,247,0.022803447477327946,0.001674314935771064
2,3,778,0.02346593205668381,0.0020215026286570376
3,4,939,0.03304015493525028,0.01144624199036668
5,6,1251,0.033149076406794514,0.01143187242825138
4,5,4734,-0.03615658560511186,0.01132203901332187
