Method,n_layers,R2,RMSE,% within 1.0,% within 0.7,R2_std,RMSE_std,% 1.0 std,% 0.7 std
ANN,1,0.43802111334708194,0.8023292059411243,80.49645390070923,66.66666666666667,0.2615448117448365,0.1632453335128669,8.921805408091577,7.083327785616373
ANN,4,0.6158272316854259,0.6625826694708581,87.5,75.0,0.03817916970873055,0.031797626973898464,2.108577040351309,3.4589078044805595
ANN,7,0.6521845954958442,0.6308624852268072,86.968085106383,73.93617021276596,0.02189722909167433,0.01964131403115068,2.5270956152455772,4.100528134720985
ANN,8,0.6205039179129661,0.6634937618814709,85.53191489361703,75.95744680851064,0.040642146634221464,0.03572757576372158,2.4491200921747507,2.874309805554528
ANN,9,0.6490729027546069,0.6364011273424597,87.47044917257683,75.41371158392434,0.03217713204426352,0.03154462117061287,2.178759880752572,2.62985761953747
ANN,10,0.6557503709438396,0.6325852102170204,86.80851063829786,75.31914893617022,0.0212427710328576,0.024781498282503204,2.4491200921747516,2.648914808082713
ANN,200,0.7054758528806458,0.5954453825017713,89.05319148936171,77.44680851063828,0.020393831563097903,0.023787869151793945,2.0638120622005225,2.5705050908123233
ANN,300,0.713151912557718,0.5856087476184915,89.30851063829789,78.57446808510636,0.02069674777870795,0.02333283237148218,1.9208244473090301,2.1384852465824262
ANN,400,0.7191186395987514,0.5787091889820425,89.68085106382982,78.4787234042553,0.01530076558819161,0.017865571781137596,1.842607242094551,2.1641772688225505
ANN,500,0.7230170403100429,0.5732906409303337,90.01063829787233,79.12765957446805,0.016109463836193053,0.01953427613760962,1.606596812140587,2.131846299847152
ANN,600,0.723217970343102,0.574181782595153,90.10638297872343,79.10638297872339,0.014449637982967145,0.017748147082361828,1.4620941934814395,1.824025434732946
ANN,700,0.7254387837591055,0.5706036260758817,90.15957446808515,79.5531914893617,0.014579116821529403,0.017286115801621774,1.5957446808510636,1.773565366647452
ANN,800,0.7274032557830491,0.5684443535860793,90.0957446808511,79.3936170212766,0.01332225640874959,0.015951597415262246,1.3155372311033633,1.6470719410607924
ANN,900,0.7270763181152878,0.5695509055157827,90.2021276595745,79.51063829787235,0.012492606244049855,0.015044106769881545,1.3633314854288543,1.714840767355162
ANN,1000,0.7278676248323691,0.5680576660656861,90.17021276595747,79.73404255319147,0.012115197309567291,0.01580493909864878,1.3105311150459449,1.5447841015935766
ANN,2000,0.7323541708471444,0.5623856832607953,90.61702127659582,80.19148936170217,0.01145698085418042,0.013464456849711797,1.1047368269182811,1.3840115834291806
ANN,3000,0.7336579171463703,0.5612400667477488,90.69148936170218,80.2127659574468,0.012769375391330356,0.016814575342435693,1.2225746820632768,1.5786388841644468
ANN,4000,0.7341459649755886,0.5618472979071221,90.71276595744686,80.46808510638297,0.013333601995400565,0.01773954214754245,1.1987799270458168,1.4544116980353927
ANN,5000,0.7322019854913207,0.5649209455927496,90.56382978723408,80.17021276595746,0.014528964620859204,0.020087933504820545,1.167865884144828,1.5159880813280442
