StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(cc1)c2ccc(cc2)c3ccccc3,Train,-1.244122266,230.30900000000003,190.5,193.365,-694.387825,-694.3903947000001,-0.002569703,-694.16699,-694.169637,-0.002647,-681.402199,-681.4187544,-0.016555429,-681.1391639999999,-681.155644,-0.01648,0.0,0.0,-0.22296999999999997,-0.04925,0.13107,0.06406,478.749054,0.0,-3.4504300000000003,-0.24566,0.24705,0.0,32,16202.0,34822.0,42557.0,0.352272745,0.44318181799999995,0.7958075040000001,16,-4.48237369,-55.46402028,50.98164659,521,-0.022426794,0.001217561,-1.1620339212259698,-3.644530478265499,2.04090434388363,-1.604299940856304,0.8853168030188459,-0.2031836071329962,-0.630319147019919,0.7045463545798824,-0.1969572900442822,0.8103684306162001,0.33184723174436886,0.05248301916713013,0.021279932093132697,-0.05603240054819467,0.19755033523804508,-0.0008261846267416789,0.0020650905660629416,-0.00012115177474322329,-2.3054286039387565e-11,-3.392182722089483e-14,4.779579012626003e-16,-3.7241779933352056e-16
XLAJFSRYFUHAPW-UHFFFAOYSA-N,[O-][N+](=O)c1cc(c(c(c1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Train,-1.109455147,258.10400000000004,126.0,149.834,-1050.242265,-1050.2509189999998,-0.00865394,-1050.175972,-1050.185969,-0.009997,-1030.636467,-1030.6515470000002,-0.01507983,-1030.5538589999999,-1030.569458,-0.015599000000000002,2.5779,3.2110000000000003,-0.34342,-0.16721,0.01311,0.18450999999999998,386.07705689999995,-2.72753,0.07867,-0.35549000000000003,0.5039,-0.7237899999999999,20,19888.5,19910.0,34427.0,0.527952282,0.549107143,0.919845178,5,244.65547149999998,-76.18811872,320.8435903,6222,0.05156599,0.015053835,-0.12264026581791873,4.905721540055453,0.32994583610740086,-3.2531569779247858,2.862627545658221,0.7337715212772958,-1.1827821214178769,0.6257028823848797,-1.106572189473391,-0.273316240562382,-0.02189676128169529,0.12437138613379255,0.002835926121245121,-0.30223114198380013,-0.19164626961215783,-0.0692580417225332,0.09773512258128385,0.0002516582028533336,5.71853570366687e-11,6.388381569630521e-14,-7.411920586384288e-16,-3.7382703277793517e-16
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Train,-2.4998752509999997,233.097,157.0,157.078,-1454.135209,-1454.140577,-0.00536793,-1453.997163,-1454.003032,-0.005869,-1432.9302910000001,-1432.946066,-0.01577467,-1432.759246,-1432.777035,-0.017789,5.8408,6.7138,-0.22973000000000002,-0.03411,0.14620999999999998,0.07082000000000001,420.8040771000001,-0.6949,-0.8810600000000001,-0.6949,0.82709,-1.82308,24,14410.5,24561.0,37818.5,0.373450017,0.580960555,0.60814448,4,105.9169966,-115.71314620000001,221.63014280000004,5409,0.040533375,0.013539405,0.10850378581654391,0.48441962302980174,-0.04899124473895894,0.9126596783728022,-2.421820757983204,-0.402362054055309,-0.26031520750742576,0.3689646271818873,0.1485162708643779,0.44388080519046974,0.7700344160044461,0.30712149570198444,-0.06955186114456859,-0.21579545530504532,0.012165364918369434,0.05370475742988666,-0.024930169502989562,0.00021333381048854857,4.373003747101611e-11,7.659996788435364e-14,-4.225988069107285e-16,-2.1501379116205715e-16
XPTKCHZHKMVCSX-WUKNDPDISA-N,CCc1c(N=Nc2ccccc2O)c(O)cc(C)c1c3ccccc3,Train,0.47714113399999997,240.305,95.0,288.497,-1072.2460640000002,-1072.2499890000001,-0.00392481,-1071.934039,-1071.938347,-0.004308,-1052.256947,-1052.275881,-0.01893318,-1051.881694,-1051.900255,-0.018561,2.8116,3.1454,-0.22145,-0.09988999999999999,0.08043,0.06254,588.7528687000001,-1.40215,-3.64376,-0.70438,0.51583,-1.88251,45,24286.5,40249.0,52513.5,0.43670388600000004,0.591439128,0.734883721,7,41.31827151,-58.59278116,99.91105266,1887,0.023222346,0.001987117,1.2091580759037992,-1.612043333295293,-0.29670089848651265,-0.8187405990374459,0.14181993311135244,0.9328536544899417,0.5296875306545478,-1.8086668786121975,0.5702438678622661,-0.08098840368297973,-0.055900342690282885,-0.5493252674939244,0.8428984262265895,-0.156094839741205,0.40922154793292437,-0.2589615377485898,-0.034641391817913404,-0.0001694776705149858,9.345534242563909e-11,5.29635689221279e-13,8.286941783125109e-17,-9.046670072351304e-17
XRHGYUZYPHTUJZ-UHFFFAOYSA-N,OC(=O)c1ccc(Cl)cc1,Train,-2.4704299080000003,156.569,240.0,107.594,-880.4373883999999,-880.4410272,-0.0036388059999999996,-880.365635,-880.369437,-0.0038020000000000003,-866.9834738,-866.9936073999999,-0.010133652,-866.8957230000001,-866.9059279999999,-0.010205,1.3933,1.6197,-0.27032,-0.07416,0.10615999999999999,0.11141,313.0378418,-1.34707,-0.26950999999999997,-0.7236100000000001,0.8063600000000001,-1.33641,15,11223.0,18096.5,27376.0,0.375527426,0.560509554,0.659601058,4,39.68069171,-54.41043352,94.09112523,1353,-0.040214659,0.009170556,-2.1666767030671368,0.8915761560807108,1.3838945692905178,0.14895763300165996,0.7850162911483098,-1.0621794451817872,0.9908349437430315,1.1759517457409205,1.0798711657830613,-0.18258075938392423,0.018112026892799796,-0.0885689359597036,0.14258671323402144,-0.052719221368521946,0.13330807227913552,0.021093145345028354,0.011390882123786632,-0.00031924400328748736,-2.6473864932898568e-11,-8.823650880462794e-15,6.287389413369931e-17,-4.494767537761979e-18
XRTGYBHBFOYLOB-UHFFFAOYSA-N,OC(CCC(O)(c1ccccc1)c2ccccc2)(c3ccccc3)c4ccccc4,Train,-3.109489168,394.51300000000003,106.0,333.527,-1233.117182,-1233.1224300000001,-0.0052477,-1232.711351,-1232.7165699999998,-0.005219,-1210.108193,-1210.132084,-0.02389032,-1209.622007,-1209.646105,-0.024097999999999998,0.0542,0.0349,-0.24161,-0.0249,0.15542,0.0827,679.0159912,-1.5552,-5.45686,-0.7776,0.50864,-1.5552,56,39083.0,43848.5,55737.5,0.595007435,0.741512167,0.7559373220000001,20,-31.71203795,-105.31203959999999,73.60000164,1240,-0.024828608,0.002682082,2.55976329305388,-3.2534358154181597,-0.7556660246766171,1.2367743630510284,2.195308003844738,1.2772500789292516,-0.4540044405450245,-0.7659578136947148,-0.13784752267469813,-0.5515342803592548,-0.30852230631022987,0.6861764999618294,0.1358149894111534,0.06116877526001568,-0.05528766351069873,-0.006635485862629997,-0.011755757337771844,-1.0867297905470858e-05,1.7078417447611572e-10,3.021692315337527e-14,1.1771757001199388e-16,-4.303485685918003e-17
XRXMNWGCKISMOH-UHFFFAOYSA-N,OC(=O)c1ccccc1Br,Train,-1.265213368,201.019,148.0,86.13600000000001,-2991.960605,-2991.9645760000003,-0.00397023,-2991.889012,-2991.893273,-0.004261,-2957.069634,-2957.08002,-0.0103853,-2956.9835239999998,-2956.993884,-0.01036,3.2593,3.844,-0.25935,-0.07349,0.10683,0.10044,314.6355896,-1.33479,-0.35408,-0.72963,0.80557,-1.2268,15,15020.0,15650.5,27597.5,0.447680299,0.474489796,0.9573137429999999,3,27.46637462,-90.01490954,117.48128419999999,2621,0.030440559,0.005453906999999999,0.37137696161136813,2.2282847894997784,3.642310084266311,1.5267777359752728,-1.057684297572278,-0.5821858841385471,0.055531469238151936,-0.07687935072988769,0.3391743412966596,0.2539046503587269,-0.1991344203882213,-0.4284131458119885,-0.16488217204720615,-0.07913097296268405,-0.049171778286185436,-0.06295180565007802,0.022690988793013983,-5.367735981369953e-06,5.314997267822051e-10,-2.6682664995194092e-14,-4.707441485518965e-16,1.5773740357886676e-16
XSFBJOCBRNOCCE-VYDXJSESSA-N,CC1(C)C2CC[C@@]1(C)C(C2)N=Cc3ccccc3,Train,-1.080538556,241.37599999999998,58.5,185.44799999999998,-716.4238019999999,-716.4253269,-0.001524821,-716.104075,-716.105848,-0.001773,-703.0735589,-703.087928,-0.014369122,-702.683028,-702.697411,-0.014383000000000002,1.0956,1.2874,-0.24365,-0.05445,0.12587,0.08474,487.1863098,0.0,-5.06921,-0.67925,0.2589,-0.44421000000000005,41,22133.5,32875.0,41143.0,0.560514037,0.5699782879999999,0.961907563,5,10.25436435,-27.52501542,37.77937977,1434,0.023498066,0.002232897,-1.2895856399117023,-3.1444203729194493,1.4203653276289536,-0.12407893546410813,0.5297181813914371,2.1330376507105417,-0.11640969445884584,-0.8315561593274723,0.42548531709784376,-0.5246274881730448,-0.33638469527774495,-0.1880275679316658,-0.24222423642551597,-0.06622129756551644,-0.27442540279466526,-0.05918729812452548,0.02076084961804379,1.77041162760512e-05,2.8238813948970922e-11,-5.752495737256575e-14,-1.9109424652292745e-16,2.1094311160285454e-16
XUWHAWMETYGRKB-UHFFFAOYSA-N,O=C1CCCCN1,Train,0.90774067,99.1326,35.0,78.751,-325.96132589999996,-325.966665,-0.00533913,-325.85096200000004,-325.85626,-0.005298,-319.8701675,-319.8774581,-0.0072905190000000005,-319.734172,-319.74149,-0.007318000000000001,4.5334,5.2312,-0.25017,-0.00783,0.17249,0.09126000000000001,270.438446,-0.68266,-1.0933700000000002,-0.68266,0.68595,-1.3514700000000002,16,14731.0,15654.5,20153.0,0.7082282,0.883757888,0.960037667,2,26.6597764,-125.9847386,152.64451499999998,5433,0.028095806,0.00718258,-3.656463525080814,0.45230955175142135,-0.4603023569803205,1.3258394318916276,-1.6869247966916165,0.3893285610969894,-0.8936260257344415,0.05668802925280751,-0.8262589141196872,0.49360095656348024,0.3975289167044269,0.2503718973570404,-0.024865922555829593,0.06818888585768244,-0.20562248833420443,-0.0489594467275349,-0.012314328317274529,0.0004244570927157578,1.7822081503016452e-11,-6.966428364624809e-14,2.1236094332677772e-16,5.702901567525298e-17
XVBIIFGQJLUPRR-UHFFFAOYSA-N,CCOC(=O)C(=NNc1ccccc1[N+]([O-])=O)C#N,Train,-0.498903775,262.225,115.0,165.02200000000002,-944.9919663999999,-944.9996968,-0.00773032,-944.8289269999999,-944.836817,-0.007890000000000001,-927.3847802000001,-927.3966613,-0.011881091000000002,-927.183736,-927.1955960000001,-0.011859999999999999,8.8525,10.2216,-0.2587,-0.12697999999999998,0.05334,0.09979,484.23715210000006,-1.94632,-0.51373,-0.71268,0.78978,-2.24443,29,18663.5,23883.0,45258.0,0.356164384,0.44155844200000005,0.783528734,2,74.14196686,-232.3539139,306.4958807,10070,0.030436532000000002,0.008584893,0.9212891062329599,3.355308509283274,-2.0653753995592536,-1.6907095255346969,-2.428031280479129,0.8726921121834544,0.05542361466714636,-0.5357786297552348,0.39914186032479837,0.14295944795474225,0.42295547205000183,-0.1417440934732159,-0.22364784088793319,-0.0657675375193897,0.05192425594932974,0.00800046891949729,-0.02339867535495407,-1.938342935397153e-05,2.6949047996046068e-11,5.163080471244213e-14,1.0246900116410949e-16,-5.186578534643793e-16
