Name,SMILES,PCA1,PCA2
BDERNNFJNOPAEC-UHFFFAOYSA-N,OCCC,1.7109124762184331,-0.616887780289736
BFCFYVKQTRLZHA-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cccc1,-1.6363249066455112,-0.7113603232910484
BFPYWIDHMRZLRN-UHFFFAOYSA-N,Oc1cc2c(cc1)C1C(C3C(C)(C(O)(C#C)CC3)CC1)CC2,-0.3236929743339541,0.1497312416989857
BGHCVCJVXZWKCC-UHFFFAOYSA-N,C(CCCCCCC)CCCCCC,1.9247161002731201,-1.0433714724565175
BGNCCUHEGHNNAP-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(=O)c2c1,-0.6162303763661664,-0.7244445654018037
BKIMMITUMNQMOS-UHFFFAOYSA-N,C(CCCC)CCCC,1.9247161002731201,-1.0433714724565175
BMLIZLVNXIYGCK-UHFFFAOYSA-N,Clc1ccc(NC(=O)N(C)C)cc1,-0.37733094188634236,0.4968275755633015
BNUHAJGCKIQFGE-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(OC)cc1,-0.671539089385786,-0.1560044997002941
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,Clc1c2C(=O)c3c(C(=O)c2ccc1)cccc3,-1.402638235415942,-0.5715527706214101
BOJWTAQWPVBIPG-UHFFFAOYSA-N,Fc1c([N+](=O)[O-])cc(C(=O)O)cc1,-0.9699770621344649,0.5810692260360723
BRBKOPJOKNSWSG-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,-0.6077194517474359,-0.20636078052652068
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1OC1,0.8988129507839585,-1.169924418649989
BRPOVUNVTUCYNN-UHFFFAOYSA-N,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,0.4351082012054894,1.7414603087113811
BRUZQRBVNRKLJG-UHFFFAOYSA-N,O=C(OCC(C)C)N,1.6163427803460455,0.6290043721177043
BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(CC)C,1.6570751117997993,-0.5543487866290273
BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,-0.7555261874403464,-0.27780501586751305
BUNFNRVLMKHKIT-UHFFFAOYSA-N,O=[N+]([O-])c1c(NC(=O)C)cccc1,-0.962167567765635,0.8253618784486021
BWXSXZAIQQSFPW-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=O)OC(CC)(CC)c2cc1,-0.833140344855332,-0.1009944021955304
BXNJHAXVSOCGBA-UHFFFAOYSA-N,O(C)c1cc2[nH]c3c(C)nccc3c2cc1,-0.6907982548662153,-0.5248492109903848
BXWNKGSJHAJOGX-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCC,2.1205042631316293,-0.6564941873722209
BYEVBITUADOIGY-UHFFFAOYSA-N,O=C(OCC)CCCCCCCC,2.3227477249378414,0.6162244970831742
BZHMBWZPUJHVEE-UHFFFAOYSA-N,C(CC(C)C)(C)C,1.3105924287423059,-0.9760210342816373
BZKPWHYZMXOIDC-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,0.4577807061654666,0.345316019278143
BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,1.0492702503571352,-0.9583879061032562
BZTYNSQSZHARAZ-UHFFFAOYSA-N,Clc1c(c2ccc(Cl)cc2)ccc(Cl)c1,-1.0832371631324729,-1.4574386043448386
CAQHPYSDQFDJAL-UHFFFAOYSA-N,O=C1C(=NO)c2c(cccc2)C=C1,-0.9006842375817328,0.06895331736919681
CBFCDTFDPHXCNY-UHFFFAOYSA-N,C(CCCCCCCCCC)CCCCCCCCC,1.9247161002731201,-1.0433714724565175
