,MLR,PLS,ANN,SVM,RF,ExtraTrees,Bagging,GPR
MLR,1.0,0.9976918539953736,0.521801744880167,0.8495523952508234,0.8152553634769273,0.7749873317989664,0.8185452670735358,0.8279108399169287
PLS,0.9976918539953736,1.0,0.513265518325063,0.8418492703762022,0.8123212136593814,0.7709478652467672,0.8159028194157613,0.8218820787067511
ANN,0.521801744880167,0.513265518325063,1.0,0.696233937270965,0.615002308501681,0.6384607544122324,0.5980593596707034,0.6952171847344139
SVM,0.8495523952508234,0.8418492703762022,0.696233937270965,1.0,0.8132373264212606,0.8204636142192314,0.8110531644924908,0.9743615408447104
RF,0.8152553634769273,0.8123212136593814,0.615002308501681,0.8132373264212606,1.0,0.9453043526268117,0.9961241340003814,0.8139968419553563
ExtraTrees,0.7749873317989664,0.7709478652467672,0.6384607544122324,0.8204636142192314,0.9453043526268117,1.0,0.9462823990727692,0.8268690677443362
Bagging,0.8185452670735358,0.8159028194157613,0.5980593596707034,0.8110531644924908,0.9961241340003814,0.9462823990727692,1.0,0.8148684042005909
GPR,0.8279108399169287,0.8218820787067511,0.6952171847344139,0.9743615408447104,0.8139968419553563,0.8268690677443362,0.8148684042005909,1.0
