Model,Deviation,Direction,R2,RMSE,% Within 1,% Within 0.7
ExtraTrees,0,up,0.7328136609432777,0.5585806056002205,89.36170212765957,77.6595744680851
ExtraTrees,5,up,0.7401738095856798,0.5533726198894215,88.29787234042553,79.7872340425532
ExtraTrees,10,up,0.7331859345376631,0.5710542798234782,90.42553191489363,79.7872340425532
ExtraTrees,15,up,0.7363496532368534,0.5752639545247401,91.48936170212765,80.85106382978722
ExtraTrees,20,up,0.7187222742416907,0.6042579385124565,90.42553191489363,78.72340425531915
ExtraTrees,25,up,0.7085447343987925,0.6283203837742415,87.2340425531915,76.59574468085107
ExtraTrees,30,up,0.7032754709661425,0.6491909672170206,89.36170212765957,74.46808510638297
ExtraTrees,35,up,0.6760648708279722,0.6860811701324434,87.2340425531915,68.08510638297872
ExtraTrees,40,up,0.6470607025693124,0.7272105763768392,87.2340425531915,68.08510638297872
ExtraTrees,50,up,0.6294797994073735,0.7870687090892955,79.7872340425532,59.57446808510638
ExtraTrees,60,up,0.5682152131060316,0.8707337530286631,74.46808510638297,48.93617021276596
ExtraTrees,70,up,0.5362854990120335,0.9455987496828592,67.02127659574468,44.680851063829785
ExtraTrees,80,up,0.5026421732464084,1.0005313531312197,61.702127659574465,40.42553191489361
ExtraTrees,0,down,0.742244800524891,0.5509694605197168,89.36170212765957,75.53191489361703
ExtraTrees,5,down,0.7315243752284087,0.564533166654266,90.42553191489363,74.46808510638297
ExtraTrees,10,down,0.734497718140306,0.5700121498300373,90.42553191489363,75.53191489361703
ExtraTrees,15,down,0.7207010628695865,0.5967790593934712,90.42553191489363,71.27659574468085
ExtraTrees,20,down,0.7012385638241134,0.6291460356680014,84.04255319148936,68.08510638297872
ExtraTrees,25,down,0.6919056776652913,0.657162855410284,82.97872340425532,68.08510638297872
ExtraTrees,30,down,0.655289043302248,0.7126833265616036,82.97872340425532,62.76595744680851
ExtraTrees,35,down,0.6424016626897876,0.7433165235396655,79.7872340425532,62.76595744680851
ExtraTrees,40,down,0.609487144206496,0.7943122773062917,73.40425531914893,61.702127659574465
ExtraTrees,50,down,0.5433552391364507,0.8901096557773501,71.27659574468085,60.63829787234043
ExtraTrees,60,down,0.5068717636435587,0.9657747081403978,69.14893617021278,53.191489361702125
ExtraTrees,70,down,0.4603157788802216,1.0409619260701721,62.76595744680851,46.808510638297875
ExtraTrees,80,down,0.4435048230210443,1.0817217115921807,61.702127659574465,43.61702127659575
