Name,SMILES,MW
BRBKOPJOKNSWSG-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,214.2416
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1OC1,92.5249
BRPOVUNVTUCYNN-UHFFFAOYSA-N,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,345.3727
BRUZQRBVNRKLJG-UHFFFAOYSA-N,O=C(OCC(C)C)N,117.1474
BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(CC)C,74.1224
BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,139.1104
BUNFNRVLMKHKIT-UHFFFAOYSA-N,O=[N+]([O-])c1c(NC(=O)C)cccc1,180.1628
BWXSXZAIQQSFPW-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=O)OC(CC)(CC)c2cc1,235.239
BXNJHAXVSOCGBA-UHFFFAOYSA-N,O(C)c1cc2[nH]c3c(C)nccc3c2cc1,212.2506
BXWNKGSJHAJOGX-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCC,242.444
BYEVBITUADOIGY-UHFFFAOYSA-N,O=C(OCC)CCCCCCCC,186.2936
BZHMBWZPUJHVEE-UHFFFAOYSA-N,C(CC(C)C)(C)C,100.2034
BZKPWHYZMXOIDC-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,222.2364
BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,88.1492
BZTYNSQSZHARAZ-UHFFFAOYSA-N,Clc1c(c2ccc(Cl)cc2)ccc(Cl)c1,257.5463
CAQHPYSDQFDJAL-UHFFFAOYSA-N,O=C1C(=NO)c2c(cccc2)C=C1,173.1708
CBFCDTFDPHXCNY-UHFFFAOYSA-N,C(CCCCCCCCCC)CCCCCCCCC,282.5518
CCGPUGMWYLICGL-UHFFFAOYSA-N,Clc1c(Cl)ccc(NC(=O)N(CCCC)C)c1,275.1772
CDAWCLOXVUBKRW-UHFFFAOYSA-N,Oc1c(N)cccc1,109.1274
CDOZDBSBBXSXLB-UHFFFAOYSA-N,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,312.472
CDVNZMKTJIBBBV-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c(C(=O)O)cc([N+](=O)[O-])c1,226.1452
CEOCDNVZRAIOQZ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,250.3389
CERQOIWHTDAKMF-UHFFFAOYSA-N,O=C(O)C(=C)C,86.0902
