X,Y,Z,ESP,ESP2,ESP3
-13.3809738,-0.6443716,-0.8869973,0.0203201937,0.5529405904,12.7511247650
-13.1331518,-3.2164341,-1.9601431,0.0102362179,0.2785416547,6.4233291120
-13.1617707,-3.2260219,-1.7283566,0.0105087704,0.2859581847,6.5943585156
-13.1736903,-3.2297570,-1.4872188,0.0107177068,0.2916436340,6.7254682116
-13.1665980,-3.2274173,-1.2335677,0.0108549860,0.2953791898,6.8116122548
-13.1337549,-3.2167078,-0.9454045,0.0109158738,0.2970360317,6.8498199726
-13.1821517,-2.9845722,-2.2392355,0.0107891011,0.2935863696,6.7702688024
-13.2354298,-2.9860578,-2.0205325,0.0112361230,0.3057504562,7.0507795632
-13.2365915,-3.0713959,-1.7593065,0.0112259539,0.3054737398,7.0443983243
-13.3142676,-2.9207234,-1.6684907,0.0120864666,0.3288894801,7.5843786260
-13.2472394,-3.0820437,-1.5161279,0.0114293507,0.3110084476,7.1720318383
-13.3200139,-2.9246424,-1.4208989,0.0122923067,0.3344906747,7.7135453616
-13.2431187,-3.0779231,-1.2658196,0.0115941327,0.3154923936,7.2754341842
-13.3071682,-2.9160192,-1.1616790,0.0124459278,0.3386709178,7.8099441469
-13.2390017,-3.0114506,-0.9825879,0.0119571617,0.3253709164,7.5032385434
-13.2020718,-2.9841187,-0.7570814,0.0120078992,0.3267515551,7.5350768577
-13.2002721,-2.7348537,-2.5030851,0.0112277823,0.3055234934,7.0455456711
-13.2448259,-2.8296302,-2.2600637,0.0114628937,0.3119212001,7.1930804288
-13.3273088,-2.6790537,-2.1779285,0.0123542908,0.3361773480,7.7524410086
-13.2779754,-2.6705358,-2.3554054,0.0119420198,0.3249588851,7.4937368679
-13.2747373,-2.8595416,-2.1021673,0.0116736735,0.3176568093,7.3253468436
-13.2925150,-2.9038899,-1.9127090,0.0118231360,0.3217238901,7.4191360400
-13.3671835,-2.7053428,-1.9489390,0.0127118239,0.3459063199,7.9767966368
-13.2861731,-2.8709774,-0.9072828,0.0126545326,0.3443473444,7.9408457750
-13.3607052,-2.7004304,-0.9461246,0.0135287735,0.3681366490,8.4894406809
-13.2522085,-2.8370128,-0.7084039,0.0127208524,0.3461519979,7.9824621127
-13.3023711,-2.6621392,-0.6550802,0.0135697244,0.3692509783,8.5151377488
-13.2100214,-2.7521778,-0.4793640,0.0129421719,0.3521744064,8.1213422808
-13.1840447,-2.4772023,-2.7476406,0.0114854890,0.3125360505,7.2072592306
-13.2518811,-2.5866855,-2.5112447,0.0118505265,0.3224692239,7.4363238621
-13.3416804,-2.4134482,-2.4131779,0.0129003024,0.3510350794,8.0950687521
-13.2704190,-2.4155695,-2.5978491,0.0122848880,0.3342888021,7.7088900632
-13.2590442,-2.5938485,-0.4584039,0.0137045337,0.3729193267,8.5997319515
-13.2975431,-2.4028323,-0.4114830,0.0145802755,0.3967494726,9.1492686803
-13.2157175,-2.4804158,-0.2726165,0.0140057614,0.3811161478,8.7887553110
-13.1309738,-2.4657782,-0.0938187,0.0137542875,0.3742731973,8.6309529780
-13.1378940,-2.2198501,-2.9624814,0.0115701940,0.3148409898,7.2604124413
-13.2379117,-2.2403005,-2.7659286,0.0123478238,0.3360013732,7.7483829291
-13.3766361,-2.2106712,-2.4567972,0.0135824425,0.3695970568,8.5231185158
-13.2418687,-2.2656161,-0.2084039,0.0149076271,0.4056571628,9.3546850872
-13.3604585,-2.1992447,-0.4477063,0.0155602935,0.4234171192,9.7642397911
-13.1677609,-1.9748471,-2.9838345,0.0123088801,0.3349416611,7.7239453647
-13.2485461,-2.0219366,-2.8259762,0.0128781996,0.3504336315,8.0811990191
-13.3000288,-2.1536341,-2.6730974,0.0130361621,0.3547320093,8.1803220599
-13.3414063,-1.9094091,-2.6613111,0.0139450394,0.3794638183,8.7506516519
-13.2737724,-2.1085768,-0.2084039,0.0156026762,0.4245704110,9.7908353561
-13.2990008,-1.9269268,-0.2084039,0.0163693653,0.4454330828,10.2719404439
-13.1555630,-1.9570943,0.0462430,0.0157447217,0.4284356652,9.8799703190
-13.1822440,-1.7293217,-2.9936555,0.0129961996,0.3536445753,8.1552452129
-13.2620703,-1.8468746,-2.8395003,0.0133820199,0.3641432803,8.3973513244
-13.3519835,-1.6712754,-2.6712307,0.0146376189,0.3983098663,9.1852522479
-13.2675972,-1.6593166,-2.8450272,0.0139073388,0.3784379349,8.7269941967
-13.3148992,-1.6830809,-0.2084039,0.0173016832,0.4708027426,10.8569792399
-13.1802397,-1.4799669,-2.9921513,0.0136286248,0.3708537389,8.5520983206
-13.3397579,-1.4349330,-2.6865720,0.0151784442,0.4130264706,9.5246255199
-13.2614133,-1.4042424,-2.8388434,0.0145649811,0.3963332914,9.1396713045
-13.3084216,-1.4281225,-0.2084039,0.0181516736,0.4939321558,11.3903566750
-13.1461591,-1.6837226,0.0915272,0.0167032735,0.4545191858,10.4814711502
-13.1604418,-1.2252589,-2.9786142,0.0141915566,0.3861718922,8.9053436557
-13.3131784,-1.1638484,-2.6729222,0.0157864240,0.4295704414,9.9061389048
-13.2470938,-1.2157782,-2.8245239,0.0149888465,0.4078672553,9.4056510791
-13.2740478,-1.1570835,-0.2084039,0.0189114893,0.5146077947,11.8671486757
-13.1458206,-1.4420314,0.0818039,0.0175447141,0.4774159498,11.0094835618
-13.2373210,-0.9900237,-2.7531457,0.0156731332,0.4264876424,9.8350478043
-13.2847721,-0.9126304,-2.6122021,0.0163995594,0.4462547037,10.2908874890
-13.2333115,-0.9657782,-0.2084039,0.0193288005,0.5259634096,12.1290156212
-13.1386541,-1.1770222,0.0403622,0.0183901467,0.5004213394,11.5400009419
-13.1686565,-0.7270075,-2.7313018,0.0159846292,0.4349638792,10.0305146486
-13.3648507,-0.9605529,-2.4476623,0.0170114746,0.4629057648,10.6748704357
-13.2651137,-0.7157782,-2.5140799,0.0169818005,0.4620982922,10.6562496581
-13.3006700,-0.6692786,-2.3781000,0.0175488984,0.4775298094,11.0121092293
-13.3381576,-0.9457690,-0.4529962,0.0196860322,0.5356841764,12.3531820370
-13.2713924,-0.7157782,-0.4584039,0.0200541818,0.5457020366,12.5841995937
-13.2651512,-0.8499555,-0.3425812,0.0197332710,0.5369696121,12.3828249141
-13.1309738,-0.8423919,-0.0850176,0.0193544321,0.5266608790,12.1450996620
-13.1309738,-0.6008443,-2.7084039,0.0161243609,0.4387661735,10.1181977203
-13.2003252,-0.5185733,-2.4795260,0.0171850042,0.4676277454,10.7837619962
-13.3718390,-0.7114254,-2.2018817,0.0181362023,0.4935111604,11.3806482814
-13.2558224,-0.4657782,-2.2623446,0.0180252774,0.4904927412,11.3110418163
-13.3134634,-0.4093911,-1.9195507,0.0190934026,0.5195579067,11.9813010774
-13.2961347,-0.4657782,-2.1235648,0.0184851401,0.5030062425,11.5996102786
-13.2948182,-0.4120072,-0.9401925,0.0204943392,0.5576793304,12.8604028083
-13.3492669,-0.6959721,-0.6996573,0.0202430618,0.5508417239,12.7027237095
-13.2598455,-0.4657782,-0.7084039,0.0204480613,0.5564200447,12.8313629633
-13.1309738,-0.5499615,-0.2925872,0.0200608537,0.5458835907,12.5883863348
-13.1410499,-0.6968233,-0.1954897,0.0197669638,0.5378864385,12.4039674529
-13.1309738,-0.3562568,-2.4584039,0.0172144083,0.4684278710,10.8022133479
-13.2422665,-0.3270708,-2.0696965,0.0186383331,0.5071748352,11.6957404004
-13.1997338,-0.2157782,-1.9894520,0.0188241992,0.5122325082,11.8123732180
-13.3626017,-0.4552964,-1.7067692,0.0195835423,0.5328952848,12.2888686073
-13.2369879,-0.2157782,-1.7585390,0.0194381955,0.5289401988,12.1976620745
-13.3758473,-0.4626526,-1.4576189,0.0200182245,0.5447235895,12.5616360485
-13.2521848,-0.2157782,-1.5185463,0.0199270463,0.5422425057,12.5044208419
-13.3548434,-0.4491222,-1.2028551,0.0203211848,0.5529675582,12.7517466588
-13.2433383,-0.2157782,-1.2671100,0.0202754181,0.5517221849,12.7230276414
-13.2055356,-0.2157782,-0.9997874,0.0204751051,0.5571559430,12.8483331969
-13.1309738,-0.3139284,-0.5565541,0.0204365971,0.5561080874,12.8241690487
-13.1454809,-0.4401614,-0.4353176,0.0203103466,0.5526726377,12.7449456245
-13.1371664,-0.2028127,-2.2023162,0.0181148555,0.4929302859,11.3672529848
-13.1309738,-0.0917599,-1.9584039,0.0187996340,0.5115640561,11.7969583320
-13.1309738,-0.0895254,-1.0119801,0.0204130571,0.5554675326,12.8093974909
-13.1309738,-0.1361782,-0.8788039,0.0204755153,0.5571671065,12.8485906329
-12.8820887,-3.7160778,-1.7094501,0.0084554077,0.2300833430,5.3058528595
-12.8961912,-3.7203723,-1.4685287,0.0086340636,0.2349448179,5.4179612390
-12.8916402,-3.7189983,-1.2158040,0.0087710100,0.2386713188,5.5038964713
-12.9190761,-3.4779228,-2.2311765,0.0086332201,0.2349218648,5.4174319280
-12.9686326,-3.4871685,-2.0174457,0.0089504972,0.2435554132,5.6165264679
-13.0081199,-3.4886485,-1.7861336,0.0092483147,0.2516594414,5.8034099706
-12.9843066,-3.5691110,-1.5095344,0.0091657508,0.2494127625,5.7516002776
-13.0684292,-3.4247355,-1.4202386,0.0098400151,0.2677604279,6.1747078861
-12.9821600,-3.5669644,-1.2599703,0.0093086917,0.2533023838,5.8412971575
-13.0582111,-3.4180539,-1.1627360,0.0099700276,0.2712982472,6.2562920111
-12.9844850,-3.5076903,-0.9804230,0.0095979994,0.2611748467,6.0228406330
-12.9522009,-3.4824674,-0.7570697,0.0096644086,0.2629819329,6.0645130713
-12.8819782,-3.2160987,-2.7090331,0.0085562912,0.2328285228,5.3691582689
-12.9605790,-3.2353693,-2.5086048,0.0090200694,0.2454485694,5.6601837272
-12.9957199,-3.3305242,-2.2607311,0.0091815225,0.2498419314,5.7614971557
-13.1015796,-3.1812137,-2.1774936,0.0100101931,0.2723912051,6.2814962427
-13.0244099,-3.3592142,-2.1018399,0.0093506406,0.2544438690,5.8676204559
-13.0488395,-3.3836438,-1.9195845,0.0095306231,0.2593414431,5.9805613040
-13.0612335,-3.4190333,-1.6704041,0.0096720755,0.2631905576,6.0693240738
-13.0430054,-3.3778097,-0.9113557,0.0101501148,0.2761986684,6.3692985143
-13.0122696,-3.3470739,-0.7084039,0.0102164870,0.2780047496,6.4109477756
-13.0855304,-3.1858929,-0.6780015,0.0109504316,0.2979763958,6.8715053057
-12.9842516,-3.2606852,-0.4838034,0.0104571394,0.2845532346,6.5619595656
-12.8873048,-3.2170756,-0.2035664,0.0103617369,0.2819571983,6.5020934907
-12.9826496,-2.9888613,-2.7422543,0.0093734912,0.2550656660,5.8819594504
-13.0060954,-3.0908998,-2.5835255,0.0094258282,0.2564898289,5.9148014557
-13.0415207,-3.1518924,-2.4145451,0.0096119466,0.2615543666,6.0315925796
-13.1221059,-2.9598995,-2.4554133,0.0103562559,0.2818080553,6.4986541699
-13.0412980,-3.1261023,-0.4584039,0.0110557832,0.3008431592,6.9376145001
-13.0069924,-3.0917968,-0.3344225,0.0110835708,0.3015992981,6.9550514939
-12.9866886,-3.0090528,-0.2084039,0.0113101529,0.3077649115,7.0972340488
-13.1156947,-2.9568290,-0.4506384,0.0118768375,0.3231851847,7.4528343254
-12.9627381,-2.7394940,-2.9821642,0.0095058291,0.2586667638,5.9650028135
-13.0052651,-2.8400694,-2.8326951,0.0096728676,0.2632121127,6.0698211470
-13.0540129,-2.9092713,-2.6724025,0.0099329616,0.2702896306,6.2330327393
-13.1230099,-2.7098364,-2.7059872,0.0106684191,0.2903024466,6.6945396669
-13.0482089,-2.6790403,-2.8756389,0.0101673436,0.2766674896,6.3801097981
-13.0434140,-2.8782183,-0.2084039,0.0119398370,0.3248994869,7.4923671102
-12.9913962,-2.8262005,-0.0688262,0.0119604974,0.3254616862,7.5053317473
-12.9574735,-2.7479312,0.0415961,0.0121262814,0.3299728963,7.6093628187
-13.1047778,-2.7004461,-0.1925985,0.0127916391,0.3480782010,8.0268814523
-12.8809738,-2.7157782,0.1789683,0.0119868317,0.3261782789,7.5218567833
-12.9030512,-2.4762279,-3.2207673,0.0094188334,0.2562994902,5.9104121374
-13.0041509,-2.5889553,-3.0087426,0.0099797808,0.2715636452,6.2624122404
-13.1014834,-2.4314970,-2.9303841,0.0109251805,0.2972892787,6.8556599930
-13.0115265,-2.4109715,-3.0889566,0.0102886132,0.2799674031,6.4562076817
-13.0118338,-2.5966382,0.0415961,0.0128491361,0.3496427749,8.0629614167
-13.0616762,-2.4354218,0.0415961,0.0136183635,0.3705745170,8.5456593056
-12.8845520,-2.4647423,0.2912714,0.0128802335,0.3504889780,8.0824753424
-12.9603318,-2.2409804,-3.2290878,0.0101915024,0.2773248838,6.3952696823
-13.0468252,-2.1761977,-3.1242552,0.0109452865,0.2978363910,6.8682767140
-13.0077644,-2.3425687,0.1648056,0.0137634372,0.3745221720,8.6366944761
-12.9114006,-2.2294817,0.3351858,0.0138270130,0.3762521563,8.6765888994
-13.1059828,-2.2096916,0.0600790,0.0146191686,0.3978078073,9.1736744819
-12.9834849,-1.9909835,-3.2596002,0.0108199753,0.2944265006,6.7896427011
-12.9832894,-2.0135416,0.2915961,0.0148792066,0.4048838001,9.3368509034
-12.8809738,-2.1009275,0.4064468,0.0141730793,0.3856691010,8.8937490047
-12.8809738,-1.9657782,0.4312407,0.0146592163,0.3988975609,9.1988048204
-13.0517765,-1.9024523,-3.1776861,0.0115371930,0.3139429855,7.2397039518
-13.0615537,-1.6710721,-3.1820250,0.0121410136,0.3303737817,7.6186074642
-13.0058763,-1.7766416,0.2915961,0.0158297762,0.4307501166,9.9333428852
-12.8809738,-1.7620462,0.4516822,0.0153972088,0.4189793593,9.6619025211
-13.0042140,-1.4888774,-3.2538461,0.0121335110,0.3301696252,7.6138994989
-13.0743171,-1.4366977,-3.1517472,0.0128390823,0.3493691959,8.0566525303
-13.0096948,-1.5944991,0.2915961,0.0164857415,0.4485998399,10.3449676650
-13.0040413,-1.4657782,0.2915961,0.0169158797,0.4603044953,10.6148836806
-12.8809738,-1.5097973,0.4506727,0.0162919783,0.4433272732,10.2233792761
-12.9752883,-1.2437576,-3.2535702,0.0125591986,0.3417531744,7.8810227373
-13.0528614,-1.1743248,-3.1302914,0.0134088699,0.3648739050,8.4141999472
-12.9820358,-1.2704228,0.2915961,0.0175098822,0.4764681240,10.9876261611
-12.8809738,-1.2710765,0.4206372,0.0171194151,0.4658429744,10.7426041631
-12.9278226,-0.9821280,-3.2370816,0.0129421905,0.3521749122,8.1213539437
-13.0237663,-0.9657782,-3.1011964,0.0138045492,0.3756408856,8.6624926490
-13.0122827,-0.9657782,0.1602872,0.0185948905,0.5059927032,11.6684797634
-12.8809738,-1.1203666,0.3870077,0.0176148266,0.4793238074,11.0534798448
-12.9859175,-0.7747748,-3.0633475,0.0141471103,0.3849624477,8.8774531768
-13.1176991,-0.9506030,-2.9496423,0.0146986637,0.3999709783,9.2235584352
-13.0517775,-0.6758089,-2.9034792,0.0150975502,0.4108252330,9.4738637273
-13.0930727,-0.9435484,0.0277576,0.0189494510,0.5156407835,11.8909699863
-13.0091057,-0.7157782,0.0415961,0.0193011083,0.5252098665,12.1116384863
-12.8916435,-0.9345922,0.3117109,0.0182615244,0.4969213501,11.4592891976
-13.0747609,-0.4351445,-2.6676542,0.0162912870,0.4433084642,10.2229455286
-13.0015933,-0.4657782,-2.8290233,0.0154545922,0.4205408390,9.6979111326
-13.0480357,-0.4657782,-0.2084039,0.0200095021,0.5444862414,12.5561626647
-12.8809738,-0.5994261,0.1579482,0.0191773459,0.5218421208,12.0339763539
-12.8974842,-0.4365541,-2.9669865,0.0146351792,0.3982434773,9.1837212791
-13.0630842,-0.2157782,-2.4302941,0.0172197599,0.4685734945,10.8055715091
-12.9979515,-0.2157782,-2.5753816,0.0165475430,0.4502815441,10.3837487205
-13.0334825,-0.2157782,-0.4584039,0.0203634247,0.5541169639,12.7782526071
-12.8809738,-0.3178562,-0.0604819,0.0198257574,0.5394862943,12.4408610386
-12.8727595,-0.4440410,0.0588869,0.0195454987,0.5318600655,12.2649958610
-12.8973907,-0.1837360,-2.7239428,0.0157430127,0.4283891609,9.8788979019
-13.0277637,-0.1125680,-2.3551937,0.0174121424,0.4738084893,10.9262934693
-12.9650650,0.0342218,-2.2442582,0.0176197308,0.4794572583,11.0565572988
-13.0521439,0.0342218,-1.9225058,0.0187315464,0.5097112980,11.7542326764
-13.0131551,0.0342218,-2.0905852,0.0181871196,0.4948966904,11.4125993907
-13.0976142,0.0153104,-1.6971668,0.0193577936,0.5267523513,12.1472090657
-13.1036622,0.0211925,-1.4466121,0.0198369187,0.5397900076,12.4478648403
-13.0353749,0.0342218,-0.9584039,0.0203103238,0.5526720153,12.7449312702
-13.0880252,0.0166101,-1.1866113,0.0201858980,0.5492862186,12.6668528728
-13.1285002,-0.2142057,-0.7080611,0.0204998869,0.5578302894,12.8638840092
-12.9632480,0.0342218,-0.7084039,0.0203331593,0.5532934029,12.7592608218
-13.0016296,0.0342218,-0.8290597,0.0203429740,0.5535604724,12.7654195965
-12.8809738,-0.0825078,-0.3251335,0.0201724739,0.5489209292,12.6584290907
-12.8940647,-0.2043799,-0.1994242,0.0200639374,0.5459675014,12.5903213641
-12.8809738,0.1562492,-2.2084039,0.0174881851,0.4758777169,10.9740110359
-12.9766545,0.1885412,-1.5048827,0.0194595397,0.5295210035,12.2110557597
-12.8845845,0.2960096,-1.4524038,0.0192991195,0.5251557476,12.1103904743
-12.8809738,0.1595328,-0.7602921,0.0201744809,0.5489755429,12.6596885133
-12.8809738,0.1058336,-0.6367921,0.0202196069,0.5502034825,12.6880054995
-12.8831676,0.2840267,-1.7090761,0.0187795097,0.5110164461,11.7843301331
-12.6728556,-3.9785898,-1.9841111,0.0074826652,0.2036136743,4.6954472315
-12.7082286,-3.9893734,-1.7573831,0.0076995273,0.2095147932,4.8315303942
-12.7353787,-3.9841838,-1.5237356,0.0079128288,0.2153190210,4.9653791909
-12.7392481,-3.9845892,-1.2781633,0.0080867180,0.2200507872,5.0744964128
-12.7224361,-3.9813422,-1.0192644,0.0082379745,0.2241666855,5.1694113710
-12.6782367,-3.9772599,-0.7402618,0.0083706301,0.2277764276,5.2526540784
-12.6732829,-3.7277986,-2.4861263,0.0073451937,0.1998728852,4.6091825062
-12.7453016,-3.7367129,-2.2742048,0.0076761442,0.2088785072,4.8168572764
-12.7534887,-3.8382931,-2.0156208,0.0077562533,0.2110583841,4.8671264775
-12.8553372,-3.7008410,-1.9422970,0.0082526179,0.2245651533,5.1786002653
-12.7743538,-3.8591581,-1.8517838,0.0078867261,0.2146087297,4.9489994687
-12.7899449,-3.8747492,-1.6643653,0.0080310897,0.2185370631,5.0395890738
-12.7994299,-3.8842342,-1.4178310,0.0081967322,0.2230444266,5.1435314416
-12.7946109,-3.8794152,-1.1641402,0.0083516011,0.2272586241,5.2407132351
-12.7739940,-3.8587984,-0.9018167,0.0084946362,0.2311508071,5.3304691895
-12.7487303,-3.8335347,-0.7084039,0.0085862629,0.2336440964,5.3879658606
-12.8232169,-3.6782361,-0.6701398,0.0089636636,0.2439136895,5.6247885243
-12.8673930,-3.7052839,-0.9419682,0.0088832590,0.2417257710,5.5743338771
-12.7244885,-3.7556604,-0.4806678,0.0087569363,0.2382883538,5.4950650807
-12.6366175,-3.7169635,-0.2027509,0.0088065324,0.2396379319,5.5261871181
-12.7028639,-3.4892544,-2.7483503,0.0074892326,0.2037923826,4.6995683482
-12.7518898,-3.5866942,-2.5120528,0.0077059859,0.2096905389,4.8355831895
-12.8582501,-3.4531420,-2.4510224,0.0082932919,0.2256719500,5.2041236259
-12.7870259,-3.6218303,-2.3644560,0.0078751349,0.2142933174,4.9417258810
-12.8169010,-3.6713965,-2.1755396,0.0080285032,0.2184666828,5.0379660625
-12.7874105,-3.6222148,-0.4584039,0.0090789359,0.2470504095,5.6971230723
-12.7563996,-3.5912040,-0.3338297,0.0091208869,0.2481919543,5.7234477449
-12.7434371,-3.5106553,-0.2084039,0.0092878840,0.2527361753,5.8282400675
-12.8693828,-3.4525377,-0.4388608,0.0096298039,0.2620402898,6.0427982447
-12.6350542,-3.4544530,0.0527501,0.0092715580,0.2522919222,5.8179953392
