Name,SMILES,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,3rd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
AQCHWTWZEMGIFD-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1
AQIXEPGDORPWBJ-UHFFFAOYSA-N,OC(CC)CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2c(cc3c1cccc3)cccc2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
AUNGANRZJHBGPY-UHFFFAOYSA-N,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
AUZONCFQVSMFAP-UHFFFAOYSA-N,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AVQQQNCBBIEMEU-UHFFFAOYSA-N,O=C(N(C)C)N(C)C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1(C2OC2)ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1
AXGUBXVWZBFQGA-UHFFFAOYSA-N,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BACHBFVBHLGWSL-UHFFFAOYSA-N,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BAPJBEWLBFYGME-UHFFFAOYSA-N,O=C(OC)C=C,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BBEAQIROQSPTKN-UHFFFAOYSA-N,c12c3c4ccc1cccc2ccc3ccc4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BBXXLROWFHWFQY-UHFFFAOYSA-N,O=c1c(CCCC)c(C)nc(NCC)[nH]1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
