Model,R2,RMSE,% within 1,% within 0.7
MLR,0.4716006349129968,0.7946203744212599,81.25809435707679,67.88621646623497
ANN,0.5824481780684714,0.7071645118988039,85.58741905642923,72.87696577243292
SVM,0.5606493958868024,0.7183999596496607,82.98334875115634,72.84921369102683
PLS,0.46881900482827205,0.7968152161997348,80.18038852913969,67.88621646623497
RF,0.6200754902925196,0.6676193981650821,87.06753006475485,73.49213691026827
ExtraTrees,0.6366243253807741,0.6539116502131979,87.72895467160036,72.86308973172987
Bagging,0.6215421770274662,0.6662975489921164,86.63737280296021,73.07123034227567
