StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,PM6_Volume,PM6_E0_gas,PM6_E0_solv,PM6_DeltaE0_sol,PM6_G_gas,PM6_G_solv,PM6_DeltaG_sol,PM6_gas_dip,PM6_solv_dip,PM6_HOMO,PM6_LUMO,PM6_LsoluHsolv,PM6_LsolvHsolu,PM6_SASA,PM6_O_charges,PM6_C_charges,PM6_Most_neg,PM6_Most_pos,PM6_Het_charges
UNXHWFMMPAWVPI-UHFFFAOYSA-N,C(C(C(CO)O)O)O,Train,0.7,122.1206,121.5,94.616,-459.3185103,-459.3375309,-0.019020608,-459.201985,-459.221086,-0.019101,-450.7719914,-450.7903332,-0.018341762,-450.629823,-450.648291,-0.018468,4.525,5.9217,-0.27058,-0.02312,0.29615,0.2955,292.4821777,-3.21822,-0.22458,-0.8072,0.52001,-3.21822,18,14277.5,20071,21205,0.634923502,0.697043985,0.980970446,5,59.36436157,-169.8324135,229.196775,4484,0.049464382,0.020714605,150.49,-0.30194696,-0.315397081,-0.013450121,-0.207276,-0.223252,-0.015976,2.5136,3.9549,-0.37965,0.05198,0.37125,0.40457,294.7169495,-2.283838,0.009231,-0.580295,0.343555,-2.283838
UPMXNNIRAGDFEH-UHFFFAOYSA-N,c1c(cc(c(c1Br)O)Br)C#N,Train,-3.33,276.9148,190,151.67,-5541.980089,-5541.990677,-0.01058759,-5541.932687,-5541.943361,-0.010674,-5480.47034,-5480.47296,-0.00261979,-5480.412836,-5480.416008,-0.003172,3.8539,4.9631,-0.26551,-0.07238,0.24689,0.29043,344.9935913,-0.68238,-0.25827,-0.68238,0.52924,-0.842,14,16946,17190.5,30125.5,0.417040359,0.438679245,0.920752159,5,83.05244323,-106.7343104,189.7867536,4547,0.034910947,0.014050373,112.983,3.09E-02,1.85E-02,-0.012388848,0.070647,0.057617,-0.01303,3.3683,4.1418,-0.36156,-0.0449,0.27437,0.38648,345.9497681,-0.445457,0.036027,-0.445457,0.37822,-0.767203
UPTOWXNJLZJTGD-UHFFFAOYSA-N,COc1ccc(c(c1)[N+](=O)[O-])OC,Train,-3.117,183.1634,72,126.387,-665.8115741,-665.8252792,-0.013705115,-665.682344,-665.696511,-0.014167,-653.4198629,-653.4242249,-0.004361985,-653.261677,-653.267348,-0.005671,5.019,7.0271,-0.23236,-0.09257,0.2267,0.25728,370.4014587,-1.89769,-0.79598,-0.54525,0.49204,-1.40565,22,16160.5,21151.5,32211,0.398255787,0.545846158,0.885278426,4,14.06008392,-210.112286,224.1723699,3885,0.037620532,0.009720595,177.602,-9.00E-02,-0.105698601,-0.015722546,0.024029,0.006955,-0.017074,5.4436,7.5195,-0.32963,-0.04616,0.27311,0.35455,368.7280579,-1.771653,-0.66388,-0.539107,0.886753,-0.8849
UQIKOYWGLUXMNE-UHFFFAOYSA-N,COC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,Test,-2.084,291.303,72.5,215.905,-1012.776385,-1012.798195,-0.02180999,-1012.521196,-1012.543309,-0.022113,-993.9450067,-993.9506163,-0.005609608,-993.632298,-993.63967,-0.007372,3.9633,6.1109,-0.25615,-0.05305,0.26622,0.28107,541.2770386,-3.06966,-0.83688,-0.68616,0.83226,-3.55472,38,23768.5,37591.5,42872.5,0.465898682,0.653293603,0.710791375,4,-139.6952992,-409.4972219,269.8019227,7546,-0.054195851,0.024014227,287.877,-0.293278601,-0.317175444,-0.023896843,-0.069341,-0.093008,-0.023667,3.6602,5.4327,-0.35699,-0.01953,0.29974,0.38191,544.5216675,-2.588676,0.142728,-0.612149,0.663471,-2.988599
URAYPUMNDPQOKB-UHFFFAOYSA-N,CC(=O)OCC(COC(=O)C)OC(=O)C,Train,-0.6,218.206,3,168.244,-802.8072119,-802.8225757,-0.01536373,-802.624124,-802.643339,-0.019215,-787.8805152,-787.8831583,-0.002643103,-787.644197,-787.648674,-0.004477,3.7548,6.1242,-0.28592,-0.01198,0.30729,0.31084,450.0582886,-3.62426,-0.12756,-0.78107,0.8316,-3.62426,29,24325.5,27183.5,33927,0.62962963,0.680421477,0.830400569,6,-64.14432413,-259.0679044,194.9235802,5908,0.02853298,0.006489227,230.155,-0.45674713,-0.474510197,-0.017763066,-0.297207,-0.317102,-0.019895,3.2304,4.6857,-0.40175,0.01959,0.33886,0.42667,438.4578247,-3.144629,0.308225,-0.600509,0.715441,-3.144629
UREBDLICKHMUKA-DVTGEIKXSA-N,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@]2(C)[C@]1(C(=O)CO)O)O)F,Train,-3.7945,392.4665,235.5,250.506,-1331.65788,-1331.681637,-0.02375704,-1331.231774,-1331.25417,-0.022396,-1306.961736,-1306.974158,-0.01242215,-1306.442976,-1306.454574,-0.011598,3.8582,5.4465,-0.24447,-0.08582,0.23345,0.26939,568.8005981,-3.54906,-4.20396,-0.79881,0.56951,-3.96819,57,28794.5,42329,45950.5,0.593553247,0.674724404,0.993863089,7,223.0045581,-243.5855054,466.5900634,11891,0.038294633,0.015335814,406.57,-0.329539221,-0.353814591,-0.02427537,0.05263,0.025866,-0.026764,4.9547,6.7154,-0.34653,-0.02955,0.28972,0.37145,564.0463867,-2.784345,-2.346884,-0.599759,0.643585,-2.995217
UVKZSORBKUEBAZ-UHFFFAOYSA-N,CN1CCN(CC1)C(c1ccccc1)c1ccccc1,Train,-1.527,266.3852,105.5,247.443,-808.6631477,-808.6713107,-0.008163004,-808.341152,-808.349328,-0.008176,-793.5853027,-793.5909215,-0.005618703,-793.198376,-793.205192,-0.006816,0.3311,0.3716,-0.18771,-0.02811,0.29116,0.21263,511.7869568,0,-4.21983,-0.56945,0.25136,-1.12326,42,28920,32470.5,38336.5,0.623230069,0.630952381,0.991999999,12,-63.91001528,-103.3120613,39.40204606,1916,-0.029818422,0.005250882,352.62,8.22E-02,7.24E-02,-0.00984724,0.374125,0.365682,-0.008443,0.6548,0.5231,-0.30522,0.00788,0.32715,0.33014,510.1991577,0,-2.6838,-0.347493,0.164489,-0.639025
UVTNFZQICZKOEM-UHFFFAOYSA-N,CC(C)N(CCC(c1ccccc1)(c1ccccn1)C(=O)N)C(C)C,Train,-1.75,339.4796,94.8,279.035,-1057.211917,-1057.225195,-0.0132786,-1056.799142,-1056.813405,-0.014263,-1037.444598,-1037.44771,-0.00311204,-1036.947984,-1036.949478,-0.001494,2.8077,2.9038,-0.2022,-0.04876,0.27051,0.22712,604.3138428,-0.67852,-4.8751,-0.85107,0.70082,-2.58065,54,36037.5,41433.5,46338,0.618831338,0.79205607,0.936959096,6,-57.74803387,-177.4826779,119.734644,2686,-0.046843547,0.018360731,416.326,-1.80E-02,-3.38E-02,-0.015846971,0.349186,0.335055,-0.014131,2.4516,4.1408,-0.30753,-0.01323,0.30604,0.33245,600.0822144,-0.633398,-2.794658,-0.633398,0.58904,-2.005291
UYXAWHWODHRRMR-UHFFFAOYSA-N,CC1(C2=CCCCC2)C(=O)NC(=O)N(C)C1=O,Train,-2.76364,236.27,146.5,185.1,-802.1615019,-802.1746958,-0.013193893,-801.930489,-801.943982,-0.013493,-787.2214979,-787.2250238,-0.003525874,-786.937633,-786.941853,-0.00422,2.0486,2.4711,-0.25484,-0.06243,0.25684,0.27976,436.0276794,-1.87261,-1.21645,-0.67366,0.85185,-3.05301,33,24868.5,29689.5,32137,0.754180632,0.772585909,0.966915455,7,-12.01940704,-151.0068104,138.9874034,4566,0.028952466,0.011393692,232.248,-0.212536087,-0.224782256,-0.012246169,-0.005624,-0.020347,-0.014723,2.0711,2.1515,-0.36274,-0.02159,0.29768,0.38766,439.7475891,-1.562861,-0.090486,-0.583175,0.728811,-2.608819
VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc(n1CCO)[N+](=O)[O-],Train,-1.20351,171.1554,160,118.736,-623.8998766,-623.916029,-0.016152376,-623.774519,-623.790597,-0.016078,-612.2547936,-612.2670371,-0.012243496,-612.099761,-612.115779,-0.016018,3.7098,5.0572,-0.26942,-0.10602,0.21325,0.29434,338.605896,-1.67233,-0.52105,-0.79828,0.51603,-2.10699,21,18258.5,20384,27515.5,0.697904578,0.773622336,0.924800159,5,116.3111088,-159.4816283,275.7927371,6680,0.040264097,0.015610757,141.569,-4.46E-02,-6.13E-02,-0.016700348,0.065032,0.047069,-0.017963,4.0336,5.3798,-0.37547,-0.04857,0.2707,0.40039,340.4135437,-1.617339,-0.665135,-0.569037,0.917775,-1.179772
