StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
PPJVBBJMDLANLB-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(c2c1cccc2[N+]([O-])=O)[N+]([O-])=O,-1.515356338,263.166,148.5,163.36,0.075084827,0.066389389,-0.008695437,0.178708,0.169719,-0.008989,4.2886,5.1928,-0.39801,0.07317,-0.10715,0.2391,404.8102722,-2.731033,-0.759923,-0.48613,0.851549,-0.212902,24
PQBRXQUGVASQBU-UHFFFAOYSA-N,Cc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1,-2.295674141,300.274,211,283.634,0.096338051,0.084498785,-0.011839266,0.280154,0.26817,-0.011984,9.2389,9.4535,-0.34713,0.11079,-0.06953,0.18822,520.8189697,-1.990167,-1.639436,-0.539801,0.888778,-0.643381,34
PRCOWBGHTCNVDZ-FPLPWBNLSA-N,CCCCCCC=CC(N)=O,0.512299784,155.24,118.5,225.144,-0.102160953,-0.107425529,-0.005264576,0.082428,0.075721,-0.006707,3.0888,4.4488,-0.3733,0.1853,0.00498,0.21439,423.5440063,-0.609474,-1.525425,-0.609474,0.644428,-1.20045,28
QEIRHBKKYVWAOM-UHFFFAOYSA-N,Oc1ccc(cc1)C(O)(c2ccccc2)c3ccccc3,-1.61750544,276.335,160,331.973,-0.021361713,-0.025764156,-0.004402443,0.206892,0.202776,-0.004116,1.3223,1.4667,-0.33926,0.17745,-0.00287,0.18035,507.0476685,-1.065043,-1.815141,-0.584069,0.359532,-1.065043,37
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,Oc1ccc(O)cc1,-2.740804655,110.112,171,138.977,-0.101029747,-0.1049533,-0.003923553,-0.034172,-0.038459,-0.004287,0,0,-0.31816,0.17323,-0.00709,0.15925,272.6074524,-0.973684,-0.383614,-0.486842,0.331801,-0.973684,14
QIJZEVMDXMIRHM-AEMDVCDZSA-N,CCC12SC3SC(S1)SC(CC)(S3)S2,-1.3318306,300.579,250,267.323,0.065530885,0.055198606,-0.010332279,0.193715,0.1845,-0.009215,0.3506,0.3995,-0.32671,0.15837,-0.02195,0.1678,415.3834534,0,-1.901368,-0.455357,0.229626,-0.204639,26
QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,-1.131340971,284.483,70,468.626,-0.281043863,-0.285081084,-0.004037222,0.128114,0.123509,-0.004605,1.8159,2.3736,-0.38378,0.20082,0.0205,0.22487,673.4207764,-1.085908,-4.051786,-0.545222,0.661296,-1.085908,56
QJGNSTCICFBACB-UHFFFAOYSA-N,CCCCCCCCC(C(O)=O)C(O)=O,-3.271932299,216.277,115,300.362,-0.351646648,-0.357175705,-0.005529057,-0.127157,-0.132485,-0.005328,0.72,0.6594,-0.40634,0.182,0.00168,0.24743,481.2296448,-2.068466,-1.232645,-0.531527,0.663652,-2.068466,35
QLCFFBOGHZDLGO-UHFFFAOYSA-N,Clc1ccc2c3ccccc3C(=O)c4cccc1c24,-1.360352472,264.711,180,212.342,0.038636649,0.035339277,-0.003297373,0.194537,0.190454,-0.004083,2.6497,3.223,-0.3316,0.12013,-0.06019,0.17269,432.8738403,-0.525307,-0.884802,-0.525307,0.569655,-0.609075,28
QMGVPVSNSZLJIA-FVWCLLPLSA-N,O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1c7ccccc67,-1.700971947,334.418,288,380.405,-0.071755525,-0.078243853,-0.006488328,0.256858,0.249929,-0.006929,4.3821,5.0268,-0.31758,0.18422,0.0039,0.15867,503.6817627,-1.048639,-1.599521,-0.559198,0.637728,-1.817848,47
QPKUOOVISUGIRK-UHFFFAOYSA-N,O=C(c1ccccc1)c2cccc3cccc(C(=O)c4ccccc4)c23,-1.057741262,336.39,188.5,352.414,0.055467657,0.050296054,-0.005171603,0.312204,0.307011,-0.005193,2.4514,2.8801,-0.34024,0.14264,-0.03768,0.18133,573.5922241,-0.99308,-1.52857,-0.496554,0.55674,-0.99308,42
QPUHWUSUBHNZCG-UWVGGRQHSA-N,O[C@H]1C=Cc2ccccc2[C@@H]1O,-1.778654954,162.188,126,195.284,-0.089699237,-0.093518401,-0.003819164,0.038499,0.034423,-0.004076,3.4504,3.8063,-0.34805,0.15678,-0.02354,0.18914,345.693512,-1.110635,-0.814347,-0.555586,0.321593,-1.110635,22
QTPSDCFAVWZIJU-UHFFFAOYSA-N,OC1=C(CCCC2CCCCC2)C(=O)c3ccccc3C1=O,-0.655228685,298.382,133,377.947,-0.16466027,-0.168708321,-0.004048051,0.129214,0.12465,-0.004564,2.7139,3.1694,-0.36043,0.10939,-0.07093,0.20152,560.468811,-1.362917,-1.922912,-0.477863,0.541073,-1.362917,44
QTQRHYLAOSURLC-UHFFFAOYSA-N,[O-][N+](=O)c1ccc2c(Cc3cc(Br)ccc23)c1,-2.025217553,290.116,236,203.811,0.071407817,0.066273149,-0.005134668,0.200078,0.193793,-0.006285,4.196,4.7067,-0.35202,0.1173,-0.06302,0.19311,435.1193848,-0.975346,-1.207486,-0.488404,0.837432,-0.238418,25
QUVCQYQEIOLHFZ-UHFFFAOYSA-N,CC1(C)Oc2ccc3C=CC(=O)Oc3c2C=C1,-0.009360791,228.247,119,259.928,-0.135004608,-0.139656538,-0.00465193,0.035112,0.029623,-0.005489,4.5011,5.3589,-0.32932,0.14373,-0.03659,0.17041,433.39505,-1.334523,-0.798659,-0.566502,0.68662,-1.334523,29
QYOOZBGIAMCUNQ-UHFFFAOYSA-N,OC1=C(O)C(=O)CCC1,-1.028462801,128.128,114,127.193,-0.195955314,-0.200308595,-0.004353282,-0.105789,-0.111019,-0.00523,3.1753,3.7052,-0.33031,0.16585,-0.01447,0.1714,292.6296387,-1.463486,-0.273585,-0.533585,0.565596,-1.463486,17
QZLYZQUYIQGGOQ-UHFFFAOYSA-N,CCCCCCCCCCCCC(=O)CCCCC(O)=O,-1.599833602,298.466,86,402.401,-0.333864885,-0.339846961,-0.005982077,0.05703,0.051526,-0.005504,3.2979,4.0631,-0.36173,0.19191,0.01159,0.20282,665.7207031,-1.629708,-3.515684,-0.548657,0.667142,-1.629708,55
