StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,PM6_Volume,PM6_E0_gas,PM6_E0_solv,PM6_DeltaE0_sol,PM6_G_gas,PM6_G_solv,PM6_DeltaG_sol,PM6_gas_dip,PM6_solv_dip,PM6_HOMO,PM6_LUMO,PM6_LsoluHsolv,PM6_LsolvHsolu,PM6_SASA,PM6_O_charges,PM6_C_charges,PM6_Most_neg,PM6_Most_pos,PM6_Het_charges
QCDYQQDYXPDABM-UHFFFAOYSA-N,OC1=CC(O)=CC(O)=C1,Train,0.534039156,126.112,216.75,98.299,-457.9232672,-457.9379179,-0.014650786,-457.842806,-457.857665,-0.014859,-449.4127964,-449.4261756,-0.013379177,-449.316312,-449.329831,-0.013519,2.8086,3.69,-0.22756,-0.01507,0.24294,0.19959,285.6192017,-2.16342,-0.17714,-0.7215,0.52466,-2.16342,15,6832,7190,12667,0.446043165,0.476923077,0.968790109,4,48.61710066,-135.552714,184.1698147,3391,-0.032398382,0.008732222,118.458,-0.184461547,-0.196330264,-0.011868717,-0.115177,-0.128294,-0.013117,2.6206,3.4068,-0.34468,0.00294,0.26095,0.31671,286.9823914,-1.446782,-0.256984,-0.661283,0.541104,-1.446782
QCXJEYYXVJIFCE-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)C(O)=O,Train,-1.292430062,179.175,257,113.076,-628.8681557,-628.8840616,-0.015905916,-628.736424,-628.752621,-0.016197,-617.1268091,-617.1398604,-0.013051345,-616.969867,-616.981767,-0.0119,5.7071,7.7862,-0.24535,-0.06418,0.19383,0.21738,374.9758301,-2.04205,-0.19148,-0.77695,0.80898,-2.66907,22,6293.5,11631.5,17321,0.354368932,0.547294162,0.632478632,6,81.45180766,-165.2577343,246.7095419,4690,0.04515683,0.020906262,166.969,-0.187591088,-0.202825337,-0.015234249,-0.072382,-0.089401,-0.017019,6.4495,8.556,-0.34512,-0.02866,0.22935,0.31715,375.5079651,-1.71049,0.183727,-0.627516,0.688503,-2.21037
QFOHBWFCKVYLES-UHFFFAOYSA-N,CCCCOC(=O)C1=CC=C(O)C=C1,Train,0.430177531,194.23,70,149.181,-653.3195207,-653.3302956,-0.010774891,-653.129794,-653.141096,-0.011302,-641.1447017,-641.1567901,-0.012088316,-640.911987,-640.925051,-0.013064,1.1195,1.7351,-0.24344,-0.04796,0.21005,0.21547,435.4263306,-1.92793,-1.7905,-0.71079,0.81811,-1.92793,28,7464.5,13968,19327,0.309623431,0.50107614,0.579365028,6,-8.133650593,-105.7447606,97.61110997,1752,-0.049783514,0.014840031,246.427,-0.198777765,-0.208815384,-0.010037619,-0.03026,-0.041724,-0.011464,1.3214,2.1092,-0.35224,-0.0208,0.23721,0.32427,433.4382629,-1.540051,-0.847625,-0.593308,0.682669,-1.540051
QGBSISYHAICWAH-UHFFFAOYSA-N,N\C(N)=N/C#N,Train,-0.687403465,84.0806,208.5,69.261,-297.628875,-297.6516096,-0.022734559,-297.585345,-297.608688,-0.023343,-292.0249022,-292.0481432,-0.023240968,-291.972345,-291.995676,-0.023331,8.1808,10.9227,-0.24851,-0.03435,0.22366,0.22054,237.1225433,0,1.07829,-0.84358,0.6444,-2.8936,10,4877.5,6990,9404.5,0.459259307,0.613861386,0.718829781,2,35.23027886,-243.2585785,278.4888573,4122,0.067561586,0.030997279,82.939,0.083469893,0.060232036,-0.023237857,0.117945,0.095644,-0.022301,7.8459,10.0235,-0.36043,0.00223,0.26024,0.33246,242.454834,0,0.847195,-0.584208,0.556036,-2.007304
QGZBWVROTIMWPF-AWEZNQCLSA-N,[H][C@@](CC1=CC=C(O)C=C1)(N(CCC#N)CCC#N)C(O)=O,Train,0.175105621,287.318,123.5,172.42,-971.753789,-971.7817393,-0.027950365,-971.501724,-971.529838,-0.028114,-953.6775465,-953.7030048,-0.025458273,-953.370917,-953.39604,-0.025123,4.6979,5.4993,-0.2392,-0.04177,0.21624,0.21123,528.0297241,-2.07198,-1.62127,-0.72506,0.8254,-3.43162,38,15945,18818,19606.5,0.661766583,0.770860417,0.792298475,5,264.2672132,-264.3818795,528.6490927,11669,0.045303719,0.016704269,297.576,-0.090738773,-0.116222539,-0.025483765,0.134438,0.109591,-0.024847,3.0549,3.9525,-0.33598,-0.00281,0.2552,0.30801,526.5772705,-1.583636,-0.75587,-0.541876,0.640257,-2.565574
QIJZEVMDXMIRHM-AEMDVCDZSA-N,CCC12SC3S[C@@H](S[C@](CC)(S3)S1)S2,Train,-2.17692864,300.579,250,228.935,-2701.191,-2701.201204,-0.01020336,-2701.042387,-2701.052553,-0.010166,-2665.387521,-2665.400847,-0.01332681,-2665.196757,-2665.210193,-0.013436,0.8326,0.8873,-0.2289,-0.03798,0.22003,0.20093,420.1835022,0,-5.05361,-0.78482,0.3324,1.80842,26,11966.5,15372,16523.5,0.689655157,0.739777834,0.879015299,8,1.025461649,-107.0987863,108.124248,1021,-0.029598796,0.005760266,203.027,0.065612242,0.042453568,-0.023158674,0.193866,0.170898,-0.022968,0.3922,0.2954,-0.32673,-0.02127,0.23674,0.29876,416.1828308,0,-1.931601,-0.457183,0.244518,-0.23114
QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,Train,-0.98281575,284.483,69.435,269.722,-858.1318614,-858.1395481,-0.007686754,-857.674982,-857.684032,-0.00905,-842.08546,-842.1045783,-0.019118286,-841.517299,-841.537813,-0.020514,1.5459,2.1126,-0.28866,-0.0061,0.25191,0.26069,710.6730347,-1.37966,-7.32505,-0.72914,0.83162,-1.37966,56,20896.5,21545.5,29573.5,0.221326385,0.235849057,0.239616611,5,-6.203470981,-78.17855424,71.97508326,1549,-0.045650225,0.012988463,413.108,-0.286764778,-0.295124964,-0.008360186,0.123157,0.113309,-0.009848,2.1403,2.696,-0.39668,0.02033,0.27834,0.36871,702.763855,-1.122092,-4.103398,-0.575073,0.679064,-1.122092
QJAIOCKFIORVFU-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)N(=O)=O,Train,-1.722553688,166.18,163.5,132.726,-570.7467551,-570.7600642,-0.013309149,-570.608523,-570.622251,-0.013728,-560.0614586,-560.0719408,-0.010482141,-559.892689,-559.903104,-0.010415,8.7814,12.5823,-0.2253,-0.08519,0.17282,0.19733,356.007843,-0.9157,-1.67979,-0.47686,0.48117,-0.86975,22,6973,9787,16014.5,0.425287356,0.637931034,0.649122807,2,95.90475445,-228.2762877,324.1810422,7514,0.043143604,0.009741017,163.191,0.022802713,0.006551205,-0.016251508,0.144894,0.12883,-0.016064,9.4208,14.4945,-0.32531,-0.03109,0.22692,0.29734,357.4501343,-1.15154,-1.308803,-0.57577,0.894341,-0.432487
QJVXKWHHAMZTBY-GCPOEHJPSA-N,COC1=CC(\C=C\CO)=CC(OC)=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Train,-2.676107361,372.372,191,253.103,-1339.218642,-1339.246297,-0.02765486,-1338.871713,-1338.899124,-0.027411,-1314.403839,-1314.429116,-0.02527706,-1313.980276,-1314.007239,-0.026963,3.5973,4.1999,-0.21592,-0.04627,0.21174,0.18795,642.713562,-6.24588,-0.73411,-0.80672,0.52404,-6.24588,50,15878.5,22964.5,28428.5,0.498964734,0.630895269,0.763681952,9,-140.3021056,-397.8201933,257.5180877,7985,-0.042351994,0.017661518,352.495,-0.546188308,-0.575776459,-0.029588151,-0.246819,-0.276032,-0.029213,5.3175,3.7288,-0.32609,-0.01187,0.24614,0.29812,650.8650513,-4.511021,-0.286568,-0.574257,0.35946,-4.511021
QLZHNIAADXEJJP-UHFFFAOYSA-N,OP(O)(=O)C1=CC=CC=C1,Train,0.371741675,158.094,160,130.911,-799.9648535,-799.9816079,-0.016754411,-799.8738,-799.892478,-0.018678,-786.8092819,-786.8233338,-0.014051877,-786.701182,-786.715382,-0.0142,4.4221,5.8586,-0.27465,-0.0487,0.20931,0.24668,324.0198059,-3.2102,-1.61017,-1.1247,2.40804,-0.80216,17,7609.5,9821.5,13326,0.636416959,0.728347721,0.924342112,3,23.78001285,-174.8440818,198.6240947,4968,0.039980695,0.021475412,138.233,-0.25124189,-0.267538797,-0.016296907,-0.175907,-0.19277,-0.016863,4.6908,6.3571,-0.37231,-0.01642,0.24159,0.34434,325.5578613,-2.31285,-0.92795,-0.87368,1.690642,-0.622208
