StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,PM6_Volume,PM6_E0_gas,PM6_E0_solv,PM6_DeltaE0_sol,PM6_G_gas,PM6_G_solv,PM6_DeltaG_sol,PM6_gas_dip,PM6_solv_dip,PM6_HOMO,PM6_LUMO,PM6_LsoluHsolv,PM6_LsolvHsolu,PM6_SASA,PM6_O_charges,PM6_C_charges,PM6_Most_neg,PM6_Most_pos,PM6_Het_charges
ABLACSIRCKEUOB-UHFFFAOYSA-N,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5c34,Test,-3.332075128,376.365,330,253.697,-1299.455146,-1299.461572,-0.00642638,-1299.167673,-1299.174115,-0.006442,-1275.358804,-1275.380739,-0.02193491,-1275.015685,-1275.037457,-0.021772,7.6898,9.2373,-0.22734,-0.1025,0.07782,0.06843,533.0968628,-4.15364,-0.98902,-0.71924,0.59892,-4.15364,44,24551.5,28210,53922.5,0.524413792,0.625198025,0.963302657,11,65.31560899,-152.8579822,218.1735912,3157,0.048190593,0.025238536,319.076,-0.375456794,-0.381807528,-0.006350734,-0.116602,-0.124137,-0.007535,8.9698,10.7457,-0.34061,-0.059,0.12132,0.1817,532.8325806,-3.11989,-0.644404,-0.672367,0.683431,-3.11989
ABTUPTPDCSVHOI-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCCCCN1,Train,0.171100776,281.482,101.5,267.676,-837.0361108,-837.0412076,-0.005096804,-836.575896,-836.581076,-0.00518,-821.3884164,-821.407714,-0.019297559,-820.825669,-820.842931,-0.017262,4.4352,5.0901,-0.24962,-0.0027,0.17762,0.09071,566.0393066,-0.68286,-7.08567,-0.68286,0.69076,-1.34498,55,25825.5,31896.5,54530.5,0.42294636,0.53526971,0.775146489,2,-1.011807489,-123.2143189,122.2025114,4328,0.028235331,0.008015155,411.421,-0.19204585,-0.197436828,-0.005390979,0.225255,0.219231,-0.006024,4.8,5.4272,-0.35873,0.04421,0.22453,0.19982,554.7750244,-0.608457,-3.834562,-0.608457,0.613373,-1.117504
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,Test,-0.885219291,406.907,162,193.559,-3410.630344,-3410.633897,-0.00355284,-3410.520744,-3410.524454,-0.00371,-3364.90093,-3364.92109,-0.02015969,-3364.763837,-3364.783945,-0.020108,1.6286,1.9344,-0.24566,-0.05418,0.12614,0.08675,517.3945923,-1.39794,-0.93758,-0.69897,0.52451,-1.24264,27,28030.5,38403.5,43427,0.574772419,0.658184178,0.805528467,10,103.1636087,-17.96991661,121.1335253,1112,0.038329332,0.01810803,166.336,-0.145949859,-0.149764021,-0.003814162,-0.046141,-0.050147,-0.004006,0.4207,0.5599,-0.34152,-0.03471,0.14561,0.18261,503.2600708,-0.878623,-0.337595,-0.439316,0.346134,-1.090413
ADGVSBKVUXRJQH-UHFFFAOYSA-N,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,Train,-0.568182429,498.624,239,368.181,-1538.978229,-1538.982566,-0.00433716,-1538.518521,-1538.523043,-0.004522,-1510.347447,-1510.375107,-0.02766021,-1509.801536,-1509.828748,-0.027212,1.4903,1.6959,-0.21818,-0.04935,0.13097,0.05927,724.4598999,-0.59506,-5.87558,-0.59506,0.26142,-0.59506,65,48783,48982.5,53243,0.846666667,0.860644212,0.984555985,13,-102.003156,-156.0517053,54.04854924,1455,-0.025654432,0.003143921,510.634,0.211731976,0.208067421,-0.003664555,0.638879,0.636249,-0.00263,1.3109,1.4706,-0.3211,-0.01635,0.16397,0.16219,711.4678955,-0.498044,-3.521109,-0.498044,0.339477,-0.498044
AEDIXYWIVPYNBI-UHFFFAOYSA-N,CCCCCCC(N)=O,Train,-1.342690328,129.202,97,111.728,-405.8001339,-405.8052283,-0.005094443,-405.621683,-405.62604,-0.004357,-398.175193,-398.1841959,-0.009002982,-397.954535,-397.963563,-0.009028,3.8015,4.3899,-0.25999,-0.00926,0.17106,0.10108,367.3771667,-0.66254,-2.41762,-0.87604,0.68018,-1.53858,24,19101,20918,28070.5,0.408730159,0.468429201,0.481308409,2,6.097777607,-104.1534705,110.2512481,2709,0.040698135,0.016626412,192.383,-0.124911825,-0.129881746,-0.004969921,0.031189,0.028089,-0.0031,3.8461,4.4464,-0.38371,0.04287,0.22319,0.2248,366.7291565,-0.590482,-1.236238,-0.604071,0.628121,-1.194553
AFFZWQZWWRKJSU-UHFFFAOYSA-N,CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,Train,-1.750473715,305.42,185.5,253.549,-904.7882554,-904.792497,-0.004241612,-904.470727,-904.475785,-0.005058,-887.9318,-887.9498586,-0.018058586,-887.54891,-887.566886,-0.017976,2.5491,3.0135,-0.20092,-0.06438,0.11594,0.04201,549.8442993,-0.63938,-4.15427,-0.67646,0.5472,-1.22553,43,21748.5,36957.5,48703.5,0.465825345,0.504155125,0.980509719,10,0.973318552,-94.01780336,94.99112191,1927,0.029331264,0.007112043,324.953,0.007082432,0.002836652,-0.004245781,0.297007,0.292171,-0.004836,2.5923,3.0066,-0.30171,-0.02332,0.157,0.1428,550.3479614,-0.570603,-2.427785,-0.570603,0.586102,-0.949933
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)c1cccc(c1)[N+]([O-])=O,Test,-0.969402295,167.121,141,127.273,-625.349432,-625.3552888,-0.005856752,-625.267929,-625.273946,-0.006017,-613.6794206,-613.6902262,-0.010805651,-613.580686,-613.591397,-0.010711,5.6292,6.4317,-0.30205,-0.11538,0.06494,0.14314,327.0773621,-2.10114,-0.04883,-0.72008,0.80794,-1.60249,17,13370.5,17845,29442,0.369747882,0.483516484,0.982332286,5,33.98608351,-142.4979269,176.4840104,4383,0.038690452,0.016411705,131.947,-0.107182114,-0.113070443,-0.005888329,-0.035487,-0.041794,-0.006307,5.5216,6.3184,-0.40891,-0.06566,0.11466,0.25,328.5684814,-1.999555,0.060628,-0.527448,0.848161,-1.151394
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Train,-0.810589193,287.145,129,193.402,-1144.905108,-1144.913311,-0.00820297,-1144.798269,-1144.806692,-0.008423,-1123.53148,-1123.546012,-0.01453188,-1123.39945,-1123.413538,-0.014088,3.8769,4.5521,-0.31796,-0.16125,0.01907,0.15905,423.1567993,-2.92363,-0.34661,-0.48159,0.62418,-1.08525,25,23353.5,25248.5,36521,0.644406565,0.712574855,0.864816786,5,237.5496587,-110.7196688,348.2693275,7718,0.045124297,0.014092102,157.667,0.04909341,0.040676539,-0.008416871,0.147551,0.137765,-0.009786,3.2391,3.6983,-0.4238,-0.10993,0.07039,0.26489,426.8919983,-3.51302,-0.558494,-0.468182,0.950792,-0.418205
ALBYIUDWACNRRB-UHFFFAOYSA-N,CCCCCC(N)=O,Train,-1.058156274,115.175,100,119.575,-366.4854242,-366.490508,-0.005083868,-366.333416,-366.337716,-0.0043,-359.5953672,-359.6033156,-0.007948341,-359.406879,-359.414833,-0.007954,3.7302,4.3103,-0.26008,-0.00915,0.17117,0.10117,335.2944336,-0.66255,-1.95736,-0.87603,0.68019,-1.53858,21,16536.5,19586,25287,0.449781659,0.512232404,0.528205133,2,4.712223956,-104.3985982,109.1108221,2674,0.040804346,0.016669537,176.915,-0.116999346,-0.121928624,-0.004929278,0.015201,0.010402,-0.004799,3.9225,4.5226,-0.38364,0.04294,0.22326,0.22473,335.738678,-0.590864,-0.971936,-0.603842,0.627964,-1.194706
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(cc1)C(O)=O,Train,-2.34814254,137.138,187,110.295,-476.2024602,-476.2090667,-0.006606506,-476.104594,-476.110643,-0.006049,-467.2971063,-467.3089669,-0.011860604,-467.181796,-467.194247,-0.012451,4.6383,4.9239,-0.2213,-0.044,0.13632,0.06239,310.138855,-1.37798,-0.16557,-0.84473,0.80016,-2.22271,17,11304.5,17121,27500,0.381578947,0.550632921,0.684471658,6,49.37447077,-106.9392568,156.3137276,2997,0.043480661,0.017328026,131.859,-0.111277305,-0.116883468,-0.005606163,-0.025844,-0.032278,-0.006434,5.2231,6.2033,-0.32756,-0.01354,0.16678,0.16865,311.4248657,-1.126611,0.067668,-0.574031,0.689702,-1.628196
