StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
LVEZJGGQISTLBD-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(cc1)C2OCC3(CO2)COC(OC3)c4ccc(cc4)[N+]([O-])=O,-2.048313378,402.361,228,321.102179,-0.206090713,-0.216016151,-0.009925438,0.072894695,0.061919912,-0.010974783,5.97857643,6.800244251,-0.394561949,0.117228003,-0.063091997,0.235651949,612.6674043,-3.850586137,-0.814044555,-0.50572568,0.836008203,-2.178945212,47
LVLNPXCISNPHLE-UHFFFAOYSA-N,Oc1ccc(Cc2ccccc2O)cc1,-1.404797714,200.237,116,225.2924985,-0.074723563,-0.079193135,-0.004469573,0.085222223,0.080125003,-0.00509722,1.927911809,2.171603245,-0.326336542,0.178436416,-0.001883584,0.167426542,408.43375,-0.974644626,-1.314387595,-0.489159486,0.337039231,-0.974644626,27
LVZVHGWKJUGCNO-UHFFFAOYSA-N,OC(=O)CCCC(=O)NNC(=O)c1ccccc1,-1.522914612,250.254,171,239.0398258,-0.231964262,-0.239530972,-0.00756671,-0.046750392,-0.055745109,-0.008994717,4.163973998,4.542945765,-0.366172829,0.161318663,-0.019001337,0.207262829,459.4355875,-2.209847556,0.071846265,-0.573542812,0.673874745,-2.9458252,32
LWBHHRRTOZQPDM-UHFFFAOYSA-N,OC(=O)CCCCCCCCCC(O)=O,-3.824304507,216.277,111,237.2045327,-0.370680812,-0.375857817,-0.005177005,-0.136850895,-0.142693151,-0.005842256,3.809367473,4.254119533,-0.400846537,0.195649114,0.015329114,0.241936537,418.5864196,-2.253600149,-1.213689656,-0.600989315,0.681273341,-2.253600149,35
LXKCZUOSRQSRHW-UHFFFAOYSA-N,CCCCCCCCCCCCC(O)CCCCC(O)=O,-1.632720421,300.482,82,424.0021638,-0.353501455,-0.358514831,-0.005013376,0.055705009,0.051536002,-0.004169007,1.929727571,2.555148421,-0.380812125,0.197720775,0.017400775,0.221902125,676.0337202,-1.684961105,-3.740441115,-0.59764721,0.661435525,-1.684961105,57
LZTRCELOJRDYMQ-UHFFFAOYSA-N,OC(c1ccccc1)(c2ccccc2)c3ccccc3,-0.255544509,260.335,161,301.7744786,0.051147634,0.048237384,-0.00291025,0.2787599,0.275709018,-0.003050882,1.637795,1.865872794,-0.3447385,0.181087,0.000767,0.1858285,491.7439433,-0.578453879,-2.066352663,-0.578453879,0.324056333,-0.578453879,36
MBOQVJIBAPJWKN-UHFFFAOYSA-N,CCOC(=O)c1ccc(C)cc1NC(C)=O,0.313612393,221.256,72,266.1523062,-0.216574865,-0.221919933,-0.005345068,-0.031737776,-0.037608769,-0.005870993,2.077716273,2.420393676,-0.333702503,0.160691004,-0.019628996,0.174792503,462.12738,-1.616880935,-0.693611032,-0.623628057,0.693512944,-2.14851889,31
MBPFAXVDKWKWNX-UHFFFAOYSA-N,ClCc1c(Br)cc(Br)cc1Br,-0.569895461,363.274,153.5,125.8161882,0.033174864,0.030049188,-0.003125676,0.075797,0.072483,-0.003314,1.6748,1.8767,-0.36984,0.13736,-0.04296,0.21093,374.8060379,0,-0.444550813,-0.197633,0.197215,-0.319815937,15
MBUKWVQKGHOBTG-UHFFFAOYSA-N,[O-][N+](=O)c1cccc(c1)C(=O)N=[N+]=[N-],-0.136980136,192.134,65,129.4628324,0.090521361,0.084292034,-0.006229327,0.160604559,0.155275491,-0.005329068,4.393381317,5.075687101,-0.407463815,0.1125585,-0.0677615,0.248553815,364.1672939,-1.466603382,0.063035941,-0.595546901,0.848709278,-0.80030439,18
MCJGNVYPOGVAJF-UHFFFAOYSA-N,Oc1cccc2cccnc12,0.185868316,145.161,75,149.7031168,0.007759583,0.005191673,-0.00256791,0.104960063,0.101993699,-0.002966364,2.728997365,3.172455984,-0.325180003,0.151580028,-0.028739972,0.166270003,318.2190954,-0.464761476,-0.591848475,-0.464761476,0.355029042,-0.774948521,18
