StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
AAEVYOVXGOFMJO-UHFFFAOYSA-N,CC(C)Nc1nc(NC(C)C)nc(n1)SC,-3.9821,241.3536,119,208.877,-1064.536616,-1064.546868,-0.010252,-1064.287609,-1064.2983,-0.010691,2.4129,3.5396,-0.23006,-0.0182,0.30107,0.25498,504.5178833,0,-2.24001,-0.83033,0.62646,-2.87268,35
AAKAAFFHKNBIKB-UHFFFAOYSA-N,CCN(CC)C(C)COC(=O)c1ccc(cc1)N,-2.38,250.341,61.5,159.281,-806.7307121,-806.7442348,-0.013522708,-806.431968,-806.447063,-0.015095,3.1348,4.5957,-0.20655,-0.03778,0.28149,0.23147,506.2477417,-1.23214,-3.01848,-0.84995,0.81645,-2.64668,40
AANUQVPVSJJCRI-UHFFFAOYSA-N,c1c2c(ncn1)nc(cn2)Cl,-0.8749,166.5695,,90.631,-909.6501969,-909.6606471,-0.010450255,-909.593124,-909.603475,-0.010351,2.2116,3.1996,-0.2763,-0.12073,0.19854,0.30122,307.2090149,0,0.97255,-0.49242,0.36354,-1.73784,14
AAOISIQFPPAFQO-UHFFFAOYSA-N,CC(C)(C)CCCCC(=O)O,-2.475043149,158.24,,169.826,-504.297483,-504.3054791,-0.007996113,-504.078276,-504.086968,-0.008692,1.6071,2.2428,-0.28962,-0.00654,0.31273,0.31454,397.4150085,-1.38245,-3.24889,-0.7292,0.83272,-1.38245,29
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1c2ccc(cc2C(=NCC1=O)c1ccccc1)Cl,-3.727,284.7445,131,201.085,-1262.487352,-1262.500757,-0.01340492,-1262.275228,-1262.288691,-0.013463,3.3196,5.3706,-0.24306,-0.07321,0.24606,0.26798,494.530304,-0.66279,-1.78548,-0.66279,0.69582,-1.59961,33
AAPVQEMYVNZIOO-UHFFFAOYSA-N,C1C2C(COS(=O)(=O)O1)C1(C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl)Cl,-5.945,422.922,181,211.289,-3806.708365,-3806.720266,-0.01190102,-3806.604045,-3806.616533,-0.012488,3.3872,4.3559,-0.28553,-0.07164,0.24763,0.31045,460.9814453,-3.32704,-1.34342,-0.92414,2.58051,-0.33774,26
AAQBHIGARPQBLO-UHFFFAOYSA-N,c1ccc2c(c1)cc(c(=C1C(=O)c3ccccc3C1=O)[nH]2)O,-7.046360074,289.2898,,197.135,-973.0148472,-973.0343244,-0.019477232,-972.80983,-972.829496,-0.019666,4.0798,6.7133,-0.21214,-0.08841,0.23086,0.23706,490.7003784,-1.96112,-0.87366,-0.68688,0.53579,-2.47277,33
AAQWYJPJRWOQEV-UHFFFAOYSA-N,CCC(C(c1ccccc1)C(=O)O)C(=O)O,-2.325617442,222.2402,196,174.779,-766.670082,-766.6839702,-0.013888214,-766.471157,-766.485384,-0.014227,0.5759,0.7162,-0.25818,-0.03377,0.2855,0.2831,434.10672,-2.71297,-1.42299,-0.71258,0.8417,-2.71297,30
AARNXMRADQFOEB-UHFFFAOYSA-N,CC(=O)C1CCC2C3CCC4=CC(=O)CC(C4(C)C3CCC12C)O,-3.82,330.4662,,279.908,-1043.996337,-1044.013508,-0.01717122,-1043.569221,-1043.586769,-0.017548,5.381,7.2277,-0.24813,-0.06038,0.25889,0.27305,533.50177,-2.03451,-5.75789,-0.781,0.61172,-2.03451,54
AARWXQTUVCBGPA-UHFFFAOYSA-N,C(CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O)CCCCCCCN,-4.143451999,417.42,181,304.83,-1896.202698,-1896.239037,-0.03633975,-1895.726348,-1895.764884,-0.038536,5.257,5.5472,-0.23946,-0.04055,0.27872,0.26438,781.1772461,-7.18653,-7.25773,-1.13048,2.39815,-3.34808,63
AASRJJKRVOUFBO-UHFFFAOYSA-N,C(Cl)(S(=O)(=O)O)(S(=O)(=O)O)S(=O)(=O)O,0.739606897,290.6623,181,137.825,-2371.463933,-2371.478027,-0.01409459,-2371.425078,-2371.440443,-0.015365,3.0852,4.4348,-0.3547,-0.08352,0.23575,0.37962,344.5985413,-8.08577,-0.85649,-0.92853,2.36957,-0.8541,17
AAWZDTNXLSGCEK-UHFFFAOYSA-N,C1C(C(C(CC1(C(=O)O)O)O)O)O,0.179,192.1682,162.5,123.835,-725.3363091,-725.3527195,-0.016410341,-725.170717,-725.187976,-0.017259,1.7499,1.9385,-0.27863,-0.02691,0.29236,0.30355,343.1202698,-4.57873,0.08591,-0.81527,0.82386,-4.57873,25
AAXVEMMRQDVLJB-BULBTXNYSA-N,CC12CCC(=O)C=C1CCC1C3CCC(C(=O)CO)(C3(C)CC(C21F)O)O,-2.461824092,380.457,257.375,276.956,-1293.672601,-1293.696659,-0.02405813,-1293.247648,-1293.273029,-0.025381,3.9136,5.7718,-0.24802,-0.0649,0.25437,0.27294,557.7895508,-3.59713,-4.19211,-0.79877,0.58267,-4.02338,56
ABDKAPXRBAPSQN-UHFFFAOYSA-N,COc1ccccc1OC,-1.314975067,138.1658,19.83,96.96,-461.3063618,-461.3145913,-0.008229478,-461.174863,-461.183337,-0.008474,0.2335,0.6641,-0.20906,-0.00143,0.31784,0.23398,333.144043,-1.09282,-1.26814,-0.54641,0.27647,-1.09282,20
ABICJYZKIYUWEE-UHFFFAOYSA-N,C1(C(=O)NC(=O)NC1=O)[N+](=O)[O-],-2.282,173.0848,183,87.688,-694.5718413,-694.5926609,-0.020819588,-694.515646,-694.535976,-0.02033,3.17,5.5512,-0.31561,-0.12008,0.19919,0.34053,310.5214844,-2.47641,1.97523,-0.66516,0.84196,-3.29649,15
ABJFBJGGLJVMAQ-UHFFFAOYSA-N,c1ccc2c(c1)[nH]c(=O)c(=O)[nH]2,-2.812,162.1476,,126.716,-568.4699713,-568.4917123,-0.021740964,-568.370597,-568.392042,-0.021445,6.9277,9.9801,-0.23966,-0.06871,0.25056,0.26458,324.2225647,-1.29336,0.4891,-0.64668,0.60145,-2.46272,18
ABLLZVRKYUXMHV-UHFFFAOYSA-N,CCCC(=O)n1c2c(cn1)c(=O)[nH]cn2,-3.27,206.2036,223.5,128.908,-718.4739572,-718.4933657,-0.019408462,-718.320771,-718.341012,-0.020241,1.1243,1.6069,-0.26098,-0.07901,0.24026,0.2859,407.7784424,-1.24487,0.16158,-0.68985,0.74977,-2.93252,25
ABMNRGKJROAQAL-IJLUTSLNSA-N,c1cc(ccc1C1=Nn2c(C(C(C(CO)O)O)O)nnc2SC1)Br,-2.487993652,415.267,197.5,298.701,-4032.293879,-4032.318167,-0.02428765,-4032.054692,-4032.080202,-0.02551,5.7516,8.5298,-0.25048,-0.09705,0.22222,0.2754,565.7686157,-3.19206,-1.02144,-0.81272,0.52545,-3.97947,39
ABMPWHSFSWXTHF-UHFFFAOYSA-N,CC(C)(C)n1cc(c(=O)c2cc(c(nc12)N1CC2CCC1CN2C)F)C(=O)O,-3.097964488,388.442,200.5,243.912,-1321.756909,-1321.782724,-0.02581513,-1321.373986,-1321.3991,-0.025114,10.8554,15.9112,-0.21659,-0.05949,0.25978,0.24151,606.5305786,-2.07455,-2.2202,-0.74595,0.80544,-4.36302,53
ABOOPXYCKNFDNJ-UHFFFAOYSA-N,CC(C(=O)O)Oc1ccc(cc1)Oc1cnc2cc(ccc2n1)Cl,-6.0604,344.7537,,208.443,-1526.273126,-1526.289785,-0.01665913,-1526.054694,-1526.069496,-0.014802,1.824,3.2556,-0.2371,-0.08543,0.23384,0.26202,590.3457642,-2.41311,-0.37508,-0.70869,0.81966,-3.3104,37
ABQKHKWXTUVKGF-UHFFFAOYSA-N,Cc1ccc(cc1)N=C=S,-4.7213,149.21,25.25,117.359,-762.0241621,-762.0289265,-0.004764416,-761.930558,-761.936562,-0.006004,3.8841,6.2583,-0.23298,-0.05269,0.26658,0.2579,348.9009094,0,-1.30669,-0.70526,0.26401,-0.49557,17
ABRDPORILGADAP-UHFFFAOYSA-N,c1cc(c(c(c1)Oc1ccc(c(c1Cl)Cl)Cl)Cl)Cl,-7.38,342.4359,,170.242,-2836.484917,-2836.492303,-0.00738595,-2836.395587,-2836.40373,-0.008143,4.4032,6.0944,-0.25058,-0.05501,0.26426,0.2755,482.0318604,-0.50992,-1.06398,-0.50992,0.31312,-0.30691,23
ABRIMXGLNHCLIP-VURMDHGXSA-N,C1CCC=CCCCC(=O)CCCCCCC1,-5.560732278,236.3966,,207.7,-701.8012254,-701.8085766,-0.007351244,-701.435395,-701.44276,-0.007365,2.692,4.0636,-0.24183,-0.03317,0.2861,0.26675,483.1754761,-0.62565,-6.13367,-0.62565,0.61238,-0.62565,45
ABTUPTPDCSVHOI-UHFFFAOYSA-N,C1CCCCCCCCC(=O)NCCCCCCCC1,-2.847395319,281.4806,108.5,246.158,-837.0446356,-837.054911,-0.010275407,-836.585001,-836.596276,-0.011275,3.4693,5.3262,-0.25366,-0.0078,0.31147,0.27858,576.9136353,-0.72021,-7.10064,-0.72021,0.68864,-1.37318,55
ABVWCZFYRJJFFG-UHFFFAOYSA-N,CCC(=O)OCc1ccc(cc1Cl)Cl,-3.0665,233.0938,,163.664,-1457.965678,-1457.973254,-0.00757592,-1457.829932,-1457.835128,-0.005196,2.6467,3.4977,-0.26,-0.04199,0.27728,0.28492,433.9770508,-1.20561,-1.42706,-0.69265,0.8403,-1.20562,24
ABXGMGUHGLQMAW-UHFFFAOYSA-N,CC(=O)c1cccc(c1)C(F)(F)F,-2.482107917,188.1489,,111.262,-721.9703575,-721.9795727,-0.009215204,-721.864894,-721.874576,-0.009682,5.1216,6.877,-0.27378,-0.0851,0.23417,0.2987,356.6794739,-0.60252,-0.18484,-0.78016,1.09623,-1.70087,20
ABYZYVAIOYICJQ-UHFFFAOYSA-N,c1cc(c(c(c1)Oc1cc(c(cc1Cl)Cl)Cl)Cl)Cl,-7.48,342.4359,,193.01,-2836.489311,-2836.49608,-0.00676885,-2836.400029,-2836.407183,-0.007154,3.1752,4.3211,-0.24997,-0.05607,0.2632,0.27489,486.6339417,-0.50785,-1.04481,-0.50785,0.31446,-0.34203,23
ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(C)(C)O,-1.7168,130.2296,-50.2,95.215,-390.9403398,-390.9458693,-0.005529513,-390.727971,-390.734043,-0.006072,1.5575,2.2183,-0.27168,-0.00063,0.31864,0.2966,371.1832886,-0.80968,-3.72372,-0.80968,0.50496,-0.80968,27
ACCBGMZOEFJHJZ-UHFFFAOYSA-N,c1ccc(cc1)Nc1nc2c(c(=O)[nH]1)ncn2CC(CSCCO)O,-4.524594434,361.425,315.5,269.296,-1518.814328,-1518.854152,-0.03982434,-1518.522386,-1518.563048,-0.040662,6.6722,9.3352,-0.2234,-0.0469,0.27237,0.24832,612.3467407,-2.28453,-0.89284,-0.80318,0.6546,-4.87334,44
ACEYAMOAGUDVAQ-UHFFFAOYSA-N,CCC(CC)(C(=O)N)Br,-1.44,194.0709,66.75,102.728,-2937.613903,-2937.623104,-0.00920039,-2937.472697,-2937.482135,-0.009438,1.8941,4.0082,-0.26864,-0.04545,0.27382,0.29356,329.9633484,-0.66813,-1.8326,-0.85078,0.67054,-1.57888,21
ACFDLHBDXXPXBY-UHFFFAOYSA-N,COC(=O)C1(CCC1)S(=O)(=O)c1ccccc1,-3.0005,254.3002,107.5,151.114,-1164.734497,-1164.751165,-0.01666779,-1164.534946,-1164.552157,-0.017211,6.2132,9.1172,-0.28004,-0.05692,0.26235,0.30496,440.0536804,-3.1058,-2.6851,-0.97317,2.17205,-0.93375,31
ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)NN=Cc1ccc([N+](=O)[O-])o1,-2.5958,197.15,,124.959,-735.9819699,-736.0108523,-0.02888238,-735.874703,-735.903584,-0.028881,10.3855,14.7671,-0.25002,-0.11701,0.20226,0.27494,402.5855103,-1.92401,0.07364,-0.78096,0.68544,-2.13472,21
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,-3.4634,406.9072,165.25,199.363,-3410.630191,-3410.63849,-0.00829917,-3410.520115,-3410.528828,-0.008713,1.6468,2.3821,-0.24575,-0.05397,0.2653,0.27067,517.6752319,-1.40712,-0.93139,-0.70356,0.53108,-1.27436,27
ACJNABKXDUDYAM-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)Nc1ccc(cc1)[N+](=O)[O-],-3.94,293.2966,,222.382,-1327.120945,-1327.14601,-0.02506549,-1326.941383,-1326.966607,-0.025224,7.8641,10.3634,-0.24387,-0.10259,0.21668,0.26879,487.8902893,-2.77342,-1.85056,-0.96471,2.32389,-1.66184,31
ACUPDOXCXXCPIX-LUAWRHEFSA-N,CNC(=O)C(=c1c2ccccc2c(=C2C(=O)NC(=O)NC2=O)[nH]1)C#N,-7.528009903,337.294,,187.536,-1191.102937,-1191.126871,-0.02393366,-1190.893347,-1190.917842,-0.024495,3.3036,4.845,-0.25504,-0.13633,0.18294,0.27996,530.9853516,-2.64736,1.79462,-0.69251,0.83073,-5.51319,36
ACVNMTOONYGQIK-UHFFFAOYSA-N,C1CCN(C1)Cc1c(c(=O)[nH]c(=O)[nH]1)Br,-1.777589069,274.1167,214,163.527,-3236.658967,-3236.679457,-0.02048978,-3236.485719,-3236.505816,-0.020097,6.1321,8.294,-0.24162,-0.06395,0.25532,0.26654,415.4369507,-1.32328,-0.40636,-0.67194,0.82381,-3.01902,27
ACVNYUMGXUDACR-UHFFFAOYSA-N,CC1=CCCC(C)(C)C1C(C)CCC=O,-4.653202091,208.343,,167.544,-623.1654826,-623.1727748,-0.007292265,-622.855866,-622.864039,-0.008173,3.0484,4.0454,-0.23764,-0.04022,0.27905,0.26256,439.3675232,-0.60044,-5.14857,-0.69964,0.43574,-0.60044,39
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)C(C(C)C)C(=O)O,-2.793739853,435.5248,109,348.907,-1431.493107,-1431.517307,-0.02419988,-1431.052667,-1431.077819,-0.025152,4.9429,7.1873,-0.23506,-0.04847,0.2708,0.25998,728.1891479,-2.0426,-4.44666,-0.71224,0.82583,-3.34209,61
ACWBQPMHZXGDFX-UHFFFAOYSA-N,CCCCC(=O)N(Cc1ccc(cc1)c1ccccc1c1[nH]nnn1)C(C(C)C)C(=O)O,-4.2,435.5248,116,286.927,-1431.494911,-1431.520465,-0.02555387,-1431.055588,-1431.082174,-0.026586,9.9845,12.6887,-0.25457,-0.06283,0.25644,0.27949,723.6274414,-2.04093,-4.39198,-0.71166,0.82587,-3.43113,61
ACWQBUSCFPJUPN-HWKANZROSA-N,CC=C(C)C=O,-0.527,84.1176,,75.089,-270.5644481,-270.5719044,-0.007456346,-270.476665,-270.486102,-0.009437,3.9995,5.4792,-0.26206,-0.06546,0.25381,0.28698,264.2818298,-0.62227,-1.34401,-0.74433,0.3876,-0.62227,14
ACYOLKMEHHTLAB-UHFFFAOYSA-N,Cc1c2ccccc2cc2ccc3ccccc3c12,-6.564822663,242.3196,138.25,225.807,-732.5033596,-732.5096513,-0.006291609,-732.273309,-732.279625,-0.006316,0.2978,0.5079,-0.20173,-0.06869,0.25058,0.22665,454.9612732,0,-3.52432,-0.71582,0.25785,0,33
ADCBKYIHQQCFHE-UHFFFAOYSA-N,CN(c1ccccc1)C(=O)N(C)c1ccccc1,-3.497557581,240.3042,122,179.397,-765.9895461,-766.0028017,-0.013255644,-765.753944,-765.766567,-0.012623,3.4732,5.1915,-0.22757,-0.0306,0.28867,0.25249,470.9279175,-0.71377,-2.24115,-0.71377,0.83818,-1.7674,34
ADCUEPOHPCPMCE-UHFFFAOYSA-N,c1cc(ccc1C#N)C(=O)O,-2.0885,147.133,221,94.614,-513.0855554,-513.0981595,-0.012604093,-513.006253,-513.019142,-0.012889,3.484,4.4474,-0.2911,-0.10035,0.21892,0.31602,322.6699829,-1.35162,0.07669,-0.71706,0.81358,-1.71774,16
ADEWRNMPMKZRKB-AWEZNQCLSA-N,c1cc(ccc1c1cnc(COC2Cn3cc(nc3OC2)N(=O)=O)nc1)OC(F)(F)F,-4.814739433,437.335,224.5,237.869,-1643.689566,-1643.71969,-0.03012428,-1643.428744,-1643.458596,-0.029852,11.3898,14.3878,-0.24523,-0.08485,0.23442,0.27015,667.5854492,-2.53058,1.41275,-0.5874,1.31882,-5.07051,45
ADIMAYPTOBDMTL-UHFFFAOYSA-N,c1ccc(cc1)C1=NC(C(=O)Nc2ccc(cc12)Cl)O,-3.952,286.718,203.5,193.062,-1298.402301,-1298.419767,-0.01746581,-1298.213824,-1298.231634,-0.01781,4.5943,6.9716,-0.25536,-0.07963,0.23964,0.28028,483.7244263,-1.4361,-0.80515,-0.77795,0.67298,-2.53017,31
ADQDGWUWSKBXJS-UHFFFAOYSA-N,CCOC(=O)N(c1ccccc1)NC(=O)N,-2.070002849,223.232,171.5,178.956,-778.8634954,-778.8814702,-0.017974844,-778.676058,-778.694725,-0.018667,1.6057,2.6322,-0.23937,-0.02617,0.2931,0.26429,447.208374,-1.95968,-0.1614,-0.87797,0.95416,-3.6942,29
ADRYPAGQXFMVFP-UHFFFAOYSA-N,c1cc2cccc(c2c(c1)Cl)Cl,-5.7963,197.0634,89,129.741,-1305.081306,-1305.086401,-0.0050958,-1304.989118,-1304.994714,-0.005596,3.2637,4.6563,-0.22867,-0.06837,0.2509,0.25359,347.6939392,0,-1.56919,-0.24681,0.26817,-0.00755,18
ADTDBAKUQAKBGZ-UHFFFAOYSA-N,c1ccc2c(c1)C13CCN4(=O)CC5=CCOC6CC(=O)N2C3C6C5CC14,-1.275036112,350.417,216,227.27,-1148.358633,-1148.382068,-0.02343455,-1148.000385,-1148.023488,-0.023103,5.2655,7.9676,-0.21288,-0.04962,0.26965,0.2378,509.5090942,-2.05373,-3.2419,-0.78268,0.70705,-2.59331,48
ADVGKWPZRIDURE-UHFFFAOYSA-N,CC(=O)Nc1ccccc1O,-2.13,151.1646,207,94.129,-515.5071756,-515.5202995,-0.013123926,-515.382857,-515.396557,-0.0137,4.4111,6.2381,-0.22132,-0.02413,0.29514,0.24624,340.7979736,-1.42077,-0.77505,-0.7752,0.68877,-2.05351,20
ADXAXAXRYZPBNQ-UHFFFAOYSA-N,CC(C(=O)NCCCCCCNC(=O)C(C)O)O,-0.7,260.3326,124.5,188.41,-882.1999966,-882.2248062,-0.024809581,-881.889584,-881.911939,-0.022355,2.3552,3.7179,-0.24944,-0.00875,0.31052,0.27436,575.0216064,-3.0397,-2.54187,-0.79625,0.66269,-4.32899,42
ADZLJYXPHYDHJU-UHFFFAOYSA-N,Cn1cnc2c(c1=O)nccn2,-1.07,162.1506,,97.638,-564.613764,-564.6331825,-0.019418495,-564.515268,-564.534326,-0.019058,2.0026,2.7559,-0.26359,-0.0911,0.22817,0.28851,324.59729,-0.63515,0.8943,-0.63515,0.66276,-2.43111,18
ADZSGNDOZREKJK-UHFFFAOYSA-N,CCSc1nnc(c(=O)n1N)C(C)(C)C,-2.7353,228.3116,95,198.987,-1044.988749,-1045.001073,-0.01232378,-1044.777839,-1044.790266,-0.012427,1.9792,2.5038,-0.24511,-0.07106,0.24821,0.27003,450.3859253,-0.64232,-2.40476,-0.70814,0.63208,-1.93592,31
AEBJDOTVYMITIA-UHFFFAOYSA-N,c1c(cc(c(c1Cl)[N+](=O)[O-])Cl)Cl,-4.5591,226.4463,71.67,130.483,-1815.529981,-1815.536964,-0.00698259,-1815.496139,-1815.50077,-0.004631,3.6215,4.8143,-0.28743,-0.10848,0.21079,0.31235,349.6873779,-0.70226,-0.54379,-0.35113,0.50571,-0.04115,14
AEDNMSDIHOZVTQ-UHFFFAOYSA-N,CCN(C1CC(C)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C(=O)CNC,-1.21,395.506,,248.623,-2242.860768,-2242.897074,-0.03630539,-2242.564291,-2242.599876,-0.035585,9.4182,14.4651,-0.23383,-0.07717,0.2421,0.25875,586.7543945,-4.53608,-4.16344,-1.11953,2.30915,-1.81715,45
AEEGJNJYJCGJFZ-LURJTMIESA-N,CC(C)COC(=O)C(C)Cl,-2.51754425,164.6315,,140.167,-885.2575403,-885.2649351,-0.007394838,-885.10268,-885.110775,-0.008095,2.7115,3.8281,-0.28843,-0.04305,0.27622,0.31335,376.7792664,-1.17681,-1.99571,-0.70304,0.81636,-1.2624,23
AEFOLTVWSRMXMW-UHFFFAOYSA-N,C=CC1CN2CCC1CC2C(=O)c1ccnc2ccccc12,-3.19,292.3798,127,217.836,-920.7853382,-920.7952659,-0.009927705,-920.478711,-920.489049,-0.010338,2.4987,3.5858,-0.22594,-0.0905,0.22877,0.25086,528.9262085,-0.57437,-3.44864,-0.57437,0.60551,-1.56325,42
AEIJTFQOBWATKX-UHFFFAOYSA-N,CCCCCCC(CO)O,-1.289975217,146.229,31,116.476,-466.1485523,-466.1590449,-0.010492551,-465.933675,-465.944397,-0.010722,0.2581,0.4327,-0.26725,-0.00235,0.31692,0.29217,397.846405,-1.59904,-3.13211,-0.80089,0.51062,-1.59904,28
AEMFNILZOJDQLW-QAGGRKNESA-N,CC12CCC(=O)C=C1CCC1C3CCC(=O)C3(C)CCC21,-3.724301432,286.4132,170,197.238,-890.1584626,-890.1754597,-0.016997154,-889.786764,-889.804054,-0.01729,4.8099,6.8096,-0.24613,-0.05918,0.26009,0.27105,494.4755859,-1.25462,-5.30679,-0.67983,0.63996,-1.25462,47
AEMRFAOFKBGASW-UHFFFAOYSA-N,C(C(=O)O)O,0.596016326,76.0518,78.83,57.321,-304.2989189,-304.3142082,-0.015289334,-304.261563,-304.276628,-0.015065,3.2979,4.3369,-0.29585,-0.01394,0.30533,0.32077,218.8061981,-2.14541,0.59279,-0.7859,0.80319,-2.14541,9
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(ccn1)C(=S)N,-2.533224856,166.247,164.25,113.324,-818.5926133,-818.6061668,-0.013553469,-818.460363,-818.473802,-0.013439,3.5778,5.627,-0.22589,-0.08414,0.23513,0.25081,367.2185974,0,-1.41177,-0.77025,0.45475,-1.49449,21
AEUTYOVWOVBAKS-UHFFFAOYSA-N,CCC(CO)NCCNC(CC)CO,0.57,204.3118,89,166.701,-655.4563865,-655.471823,-0.01543652,-655.158303,-655.174354,-0.016051,3.3315,4.54,-0.2214,-0.00778,0.31149,0.24632,488.8400574,-1.62115,-3.33126,-0.81568,0.51544,-3.08459,38
AEXMKKGTQYQZCS-UHFFFAOYSA-N,CCC(C)(C)CC,-4.2293,100.2034,-135,101.009,-276.4017563,-276.4021607,-0.000404331,-276.217649,-276.218571,-0.000922,0.0739,0.0889,-0.30408,0.00508,0.32435,0.329,307.255127,0,-3.75959,-0.69092,0.2397,0,23
AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,-3.74,86.1766,-153.93,89.544,-237.0918152,-237.0921686,-0.000353445,-236.934771,-236.935577,-0.000806,0.1386,0.1733,-0.311,0.00914,0.32841,0.33592,299.9029236,0,-3.26263,-0.68701,0.23783,0,20
AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1,-1.2803,107.1548,-57,94.431,-326.9231907,-326.9292167,-0.006026066,-326.809231,-326.815359,-0.006128,2.1158,2.8487,-0.1955,-0.0052,0.31407,0.22042,294.869751,0,-1.71506,-0.65346,0.4334,-0.65346,17
AFDXODALSZRGIH-QPJJXVBHSA-N,COc1ccc(cc1)C=CC(=O)O,-2.3984,178.1872,173.5,145.122,-612.7758019,-612.788156,-0.012354111,-612.633609,-612.646405,-0.012796,4.4564,5.8781,-0.22881,-0.07494,0.24433,0.25373,388.9772644,-1.94092,-0.8142,-0.72835,0.77556,-1.94092,23
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C=CCCCCCCCC,-5.51,140.268,-66.122,145.198,-393.1168428,-393.1185181,-0.00167524,-392.877896,-392.880117,-0.002221,0.4904,0.6343,-0.25756,0.00292,0.32219,0.28248,428.4981995,0,-4.64298,-0.68812,0.24795,0,30
AFGBRTKUTJQHIP-UHFFFAOYSA-N,CC(C)C(C(=O)O)N1CCCNC1=O,-1.102861926,200.237,,170.501,-687.8333555,-687.8514003,-0.018044818,-687.617463,-687.636659,-0.019196,5.7616,8.3497,-0.244,-0.01433,0.30494,0.26892,392.894043,-2.11597,-1.15201,-0.74774,0.84152,-3.32064,30
AFGCRUGTZPDWSF-BYPYZUCNSA-N,CCOCC(C(=O)O)N,0.524,133.1468,,91.29,-477.5963823,-477.6084527,-0.012070377,-477.463781,-477.476675,-0.012894,3.1792,4.4294,-0.249,-0.01835,0.30092,0.27392,333.7401428,-1.9813,-0.31143,-0.9331,0.8277,-2.9144,20
AFHJQYHRLPMKHU-WEZNYRQKSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1C(C(C(C(CO)O1)O)O)O,-1.7025,418.3994,148,250.831,-1490.519042,-1490.549098,-0.03005562,-1490.164964,-1490.19595,-0.030986,4.2525,4.5803,-0.23989,-0.09419,0.22508,0.26481,597.6445313,-6.63556,-0.72426,-0.79855,0.54912,-6.63556,52
AFIIBUOYKYSPKB-UHFFFAOYSA-N,CC(C)Nc1nc(nc(n1)SC)N=N#N,-3.48,225.2708,,158.3,-1054.818402,-1054.827985,-0.00958307,-1054.663844,-1054.673838,-0.009994,1.8048,2.0996,-0.24635,-0.06298,0.25629,0.27127,442.7008667,0,-0.81575,-0.83106,0.62458,-2.16893,26
AFJWMGOTLUUGHF-UHFFFAOYSA-N,C1CCC2=C(C1)C(=O)NC2=O,-1.974517726,151.1646,,103.128,-515.5178717,-515.5294727,-0.011600952,-515.390124,-515.402087,-0.011963,2.9952,3.6963,-0.2782,-0.09841,0.22086,0.30312,327.3781128,-1.19698,-0.66016,-0.68918,0.69494,-1.88616,20
AFOGBLYPWJJVAL-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05,256.319,131,239.975,-1162.159257,-1162.179872,-0.02061538,-1161.939707,-1161.960559,-0.020852,4.9796,8.5554,-0.26808,-0.05141,0.26786,0.293,494.6982117,-2.61941,-2.54532,-0.97094,2.33225,-1.88709,33
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,-1.732938586,167.1208,141,100.033,-625.3376121,-625.3548087,-0.017196605,-625.256856,-625.274055,-0.017199,2.7546,3.5778,-0.30497,-0.12605,0.19322,0.32989,326.756073,-2.12886,-0.03167,-0.71122,0.81821,-1.62496,17
AFQYFVWMIRMBAE-UHFFFAOYSA-N,CC(C)(C)COC(=O)N,-0.8,131.1742,,87.837,-441.7185968,-441.7286964,-0.010099578,-441.562976,-441.573645,-0.010669,2.6982,3.5636,-0.28171,-0.00588,0.31339,0.30663,334.9242554,-1.29275,-1.35407,-0.88618,0.92177,-2.17893,22
AFSIMBWBBOJPJG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OC=C,-6.15,310.519,36,276.837,-935.5210771,-935.5273029,-0.0062258,-935.037188,-935.044875,-0.007687,1.6926,2.2866,-0.25955,-0.02597,0.2933,0.28447,765.7481079,-1.18173,-7.72436,-0.68816,0.83932,-1.18173,60
