StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
IMRWILPUOVGIMU-UHFFFAOYSA-N,c1ccnc(c1)Br,-0.8806,157.9973,,80.458,-2819.42264,-2819.429047,-0.0064076,-2819.374327,-2819.380755,-0.006428,3.5175,4.8084,-0.26396,-0.05183,0.26744,0.28888,267.8294373,0,-0.60854,-0.49013,0.27468,-0.44862,11
IMSSROKUHAOUJS-UHFFFAOYSA-N,C#CC1(CCC2C3CCc4cc(ccc4C3CCC12C)OC)O,-5.49,310.4352,150.5,235.3,-966.2918131,-966.3021897,-0.010376599,-965.914428,-965.925147,-0.010719,1.0849,1.1972,-0.21493,-0.01201,0.30726,0.23985,552.4054565,-1.32778,-5.31257,-0.77051,0.51476,-1.32778,49
IMUDHTPIFIBORV-UHFFFAOYSA-N,C(CN1CCNCC1)N,-0.111286043,129.2046,-19,117.834,-401.9115537,-401.9221062,-0.010552549,-401.724088,-401.734265,-0.010177,1.0859,1.3603,-0.21631,0.00037,0.31964,0.24123,335.6369324,0,-1.69138,-0.95194,0.40628,-2.25168,24
IMUUNYPYNWXUBO-UHFFFAOYSA-N,c1cc(c(cc1S(=O)(=O)O)S(=O)(=O)O)N,-1.770093003,253.2444,,150.928,-1535.224389,-1535.250663,-0.02627325,-1535.122731,-1535.147984,-0.025253,5.3295,8.8548,-0.25918,-0.07566,0.24361,0.2841,396.2373657,-5.65015,-1.16572,-0.95519,2.38627,-1.69165,22
IMWQMZMZPWIQBE-UHFFFAOYSA-N,CC(=NNC(=O)N)C=NNC(=O)N,-1.949,186.173,255,135.358,-675.5174114,-675.5418419,-0.024430462,-675.381884,-675.406638,-0.024754,6.9524,9.8764,-0.23036,-0.07286,0.24641,0.25528,396.4159546,-1.43419,1.011,-0.88431,0.79399,-4.67893,23
IMYCVFRTNVMHAD-UHFFFAOYSA-N,CCC(C)(C)OOC1(CCCCC1)OOC(C)(C)CC,-5.460037419,288.4264,,267.449,-929.7488362,-929.7541311,-0.005294885,-929.335649,-929.342215,-0.006566,0.9,1.1022,-0.23489,-0.00152,0.31775,0.25981,547.3781128,-1.36038,-6.52103,-0.70593,0.55243,-1.36038,52
INAMEDPXUAWNKL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCN,-5.85712424,283.5396,,286.743,-803.5291541,-803.5348406,-0.005686571,-803.012343,-803.019451,-0.007108,1.338,1.9023,-0.23942,0.00313,0.3224,0.26434,747.3170776,0,-8.79766,-0.95336,0.40225,-0.95336,61
INAPMGSXUVUWAF-UHFFFAOYSA-N,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,0.1076,260.1371,195,172.197,-1254.924024,-1254.952652,-0.02862881,-1254.747284,-1254.776856,-0.029572,4.6341,6.6312,-0.28387,-0.02861,0.29066,0.30879,409.5561523,-8.07377,0.20049,-1.1261,2.5935,-5.48027,29
INAXVXBDKKUCGI-UHFFFAOYSA-N,CC1C(=O)C(=C(C)O1)O,0.390669896,128.1274,80.5,111.359,-459.1292652,-459.1389771,-0.009711827,-459.028558,-459.038998,-0.01044,2.5066,3.5287,-0.22771,-0.05699,0.26228,0.25263,305.5334167,-1.90649,-0.49421,-0.74406,0.52999,-1.90649,17
INCSQLZZXBPATR-UHFFFAOYSA-N,COC(=O)c1c(N)nccn1,-1.642266052,153.1402,171,114.643,-547.5874888,-547.5980059,-0.010517072,-547.486685,-547.498354,-0.011669,0.1959,0.3421,-0.23818,-0.07846,0.24081,0.2631,327.0193787,-1.20035,0.80604,-0.81675,0.79695,-2.90806,18
