Model,R2,RMSE,% within 1,% within 0.7
MLR,0.6367334145376885,0.6604696125473406,87.2340425531915,73.40425531914893
ANN,0.6279959974669321,0.6725403163846049,87.2340425531915,77.6595744680851
SVM,0.7066257765302454,0.577791835915788,89.36170212765957,75.53191489361703
PLS,0.6363162008706362,0.6609374924082255,85.1063829787234,73.40425531914893
RF,0.7169050702177522,0.5744765271373127,92.5531914893617,74.46808510638297
ExtraTrees,0.7336774066689671,0.5573393756894032,88.29787234042553,78.72340425531915
Bagging,0.7110933915833766,0.5816293701015608,89.36170212765957,74.46808510638297
