StdInChIKey,Name,Smile,Sol,LogS,T,Sol_cat,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
FSERHDPEOFYMMK-UHFFFAOYSA-N,"1-(5-bromo-1H-indol-3-yl)-N,N-dimethylmethanamine",Brc1cc2c(CN(C)C)c[nH]c2cc1,NA,-4.0552,NA,G,253.1411,160,147.517,-3108.242108,-3108.251776,-0.00966788,-3108.061863,-3108.070673,-0.00881,3.8962,4.9752,-0.21412,-0.03178,0.28749,0.23904,421.462738,0,-2.22838,-0.56121,0.4649,-1.09522,27,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
FSVJFNAIGNNGKK-UHFFFAOYSA-N,"2-(cyclohexanecarbonyl)-3,6,7,11b-tetrahydro-1H-pyrazino[2,1-a]isoquinolin-4-one",O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,NA,-3.193,NA,H,312.4108,136,199.25,-998.5022058,-998.5193163,-0.017110535,-998.144242,-998.161141,-0.016899,6.4586,9.3337,-0.24573,-0.03689,0.28238,0.27065,546.2084961,-1.39857,-3.71089,-0.70732,0.71898,-2.37701,47,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
FUKCEEDRHGCYHH-UHFFFAOYSA-N,[2-(butylamino)-2-oxoethyl] benzoate,O=C(NCCCC)COC(=O)c1ccccc1,NA,-2.759,NA,I,235.2822,69.5,172.735,-786.1133967,-786.1252813,-0.011884575,-785.87549,-785.887768,-0.012278,3.8985,5.1217,-0.25841,-0.07223,0.24704,0.28333,488.8417358,-1.89493,-1.90477,-0.69606,0.82611,-2.54571,34,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
FULZLIGZKMKICU-UHFFFAOYSA-N,phenylthiourea,S=C(Nc1ccccc1)N,NA,-1.77,NA,J,152.2136,149,102.981,-779.2780263,-779.2954235,-0.017397157,-779.171282,-779.189898,-0.018616,4.5705,7.6125,-0.21603,-0.04199,0.27728,0.24095,337.3738098,0,-0.78677,-0.83115,0.45628,-1.84396,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1
FVSKHRXBFJPNKK-UHFFFAOYSA-N,propanenitrile,N#CCC,NA,0.28,NA,L,55.0792,-92,58.448,-172.0764587,-172.0849538,-0.008495134,-172.028603,-172.037136,-0.008533,4.1731,5.1925,-0.33252,-0.01084,0.30843,0.35744,217.0012817,0,-0.92351,-0.67955,0.34063,-0.42129,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylacetamide",O=C(N(C)C)C,NA,1.11,NA,M,87.1212,-20,61.762,-287.8429138,-287.8530561,-0.010142352,-287.74558,-287.756333,-0.010753,4.0995,5.6968,-0.24622,-0.00307,0.3162,0.27114,264.636322,-0.7227,-1.04193,-0.77502,0.68554,-1.21145,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FZBXGZBXWFNCQY-UHFFFAOYSA-N,[2-(azepan-1-yl)-2-oxoethyl] benzoate,O=C(COC(=O)c1ccccc1)N1CCCCCC1,NA,-2.542,NA,I,261.32,107.5,223.893,-863.5197166,-863.535749,-0.01603247,-863.244788,-863.260319,-0.015531,3.781,5.5864,-0.24822,-0.05313,0.26614,0.27314,504.3084106,-1.88458,-2.4325,-0.69541,0.82568,-2.36975,38,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
FZSVSABTBYGOQH-UHFFFAOYSA-N,"[(3,3-dimethyl-1-methylsulfanylbutan-2-ylidene)amino] N-methylcarbamate",S(CC(=NOC(=O)NC)C(C)(C)C)C,NA,-1.62,NA,J,218.3134,57,127.994,-1011.927598,-1011.943071,-0.01547239,-1011.704522,-1011.720101,-0.015579,3.4231,5.396,-0.22956,-0.02987,0.2894,0.25448,446.6631165,-1.14613,-2.91966,-0.82571,0.9285,-1.81328,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GABQNAFEZZDSCM-UHFFFAOYSA-N,3-phenylprop-2-enyl 2-aminobenzoate,O=C(OCC=Cc1ccccc1)c1c(N)cccc1,NA,-6.042,NA,E,253.3,61,218.938,-823.9748569,-823.9857191,-0.010862202,-823.747451,-823.758303,-0.010852,0.3205,0.639,-0.21172,-0.05097,0.2683,0.23664,513.734375,-1.23546,-2.05285,-0.84243,0.81609,-2.07789,34,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
GBDZXPJXOMHESU-UHFFFAOYSA-N,"1,2,3,4-tetrachlorobenzene",Clc1c(Cl)c(Cl)ccc1Cl,NA,-4.63015,NA,G,215.8938,44.5,121.302,-2070.623503,-2070.627138,-0.0036355,-2070.597395,-2070.60121,-0.003815,2.0451,2.911,-0.26553,-0.0556,0.26367,0.29045,327.7150574,0,-0.75514,-0.2222,0.28066,0.19384,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
GBROPGWFBFCKAG-UHFFFAOYSA-N,picene,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,NA,-7.869988,NA,D,278.3526,367.5,183.835,-846.8521408,-846.8598529,-0.007712136,-846.605893,-846.614357,-0.008464,0.0335,0.064,-0.21235,-0.05845,0.26082,0.23727,495.5426636,0,-3.4977,-0.24473,0.25386,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GCKMFJBGXUYNAG-HLXURNFRSA-N,"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13,17-trimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,NA,-3.97988,NA,H,302.4558,164.5,217.219,-930.5608789,-930.5756549,-0.014775996,-930.140459,-930.155679,-0.01522,4.1069,5.7813,-0.21974,-0.07028,0.24899,0.24466,504.6696472,-1.41189,-6.27072,-0.79677,0.56049,-1.41189,52,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
GCNTZFIIOFTKIY-UHFFFAOYSA-N,1H-pyridin-4-one,Oc1ccncc1,NA,1.02,NA,M,95.1006,145,84.916,-323.5201256,-323.5303464,-0.010220754,-323.45595,-323.466111,-0.010161,2.7786,3.8084,-0.26493,-0.02803,0.29124,0.28985,249.2917633,-0.70817,-0.3056,-0.70817,0.53037,-1.23161,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
GCQZFVAHUZIDRP-UHFFFAOYSA-N,4-amino-N-(4-sulfamoylphenyl)benzenesulfonamide,S(=O)(=O)(Nc1ccc(S(=O)(=O)N)cc1)c1ccc(N)cc1,NA,-2.759,NA,I,327.3724,137,238.332,-1726.54283,-1726.573294,-0.03046365,-1726.342317,-1726.372823,-0.030506,4.9141,5.4825,-0.23797,-0.05829,0.26098,0.26289,526.576416,-3.88641,-2.27224,-1.12061,2.32137,-2.1145,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
GECHUMIMRBOMGK-UHFFFAOYSA-N,4-amino-N-pyridin-2-ylbenzenesulfonamide,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,NA,-2.81913,NA,I,249.2868,191.5,169.366,-1138.6543,-1138.674202,-0.01990256,-1138.484393,-1138.504511,-0.020118,7.6992,11.0865,-0.23313,-0.04533,0.27394,0.25805,445.4780273,-1.9403,-1.5749,-0.97096,2.32188,-1.86042,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
GEDIWDLJKRKBFT-UHFFFAOYSA-N,"(5-methyl-2-phenylpyrazol-3-yl) N,N-dimethylcarbamate",O=C(Oc1n(c2ccccc2)nc(C)c1)N(C)C,NA,-2.09,NA,I,245.2804,50,195.995,-819.1424768,-819.1553854,-0.012908628,-818.922928,-818.936355,-0.013427,4.3304,6.5001,-0.22884,-0.02991,0.28936,0.25376,492.2848816,-1.24725,-1.50865,-0.71417,0.93707,-2.31484,33,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
GEYOCULIXLDCMW-UHFFFAOYSA-N,"benzene-1,2-diamine",Nc1c(N)cccc1,NA,-0.42,NA,K,108.1426,101.5,106.147,-342.9676876,-342.9803329,-0.012645227,-342.864622,-342.877195,-0.012573,2.6286,3.4138,-0.19498,-0.01165,0.30762,0.2199,280.3762817,0,-0.88012,-0.8891,0.42154,-1.77231,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
GFBKOADVXIDVBA-UHFFFAOYSA-N,butyl N-sulfamoylcarbamate,S(=O)(=O)(NC(=O)OCCCC)N,NA,-1.038,NA,J,196.2208,112.75,166.45,-1006.318483,-1006.338786,-0.02030365,-1006.169263,-1006.190556,-0.021293,4.9937,7.2763,-0.29841,-0.02299,0.29628,0.32333,405.4348145,-3.10727,-0.83536,-1.12768,2.41729,-2.74221,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GGLIEWRLXDLBBF-UHFFFAOYSA-N,(4-ethoxyphenyl)urea,O=C(Nc1ccc(OCC)cc1)N,NA,-2.17,NA,I,180.206,173.5,142.653,-610.1784334,-610.195805,-0.017371591,-610.013286,-610.031056,-0.01777,4.8297,7.2102,-0.20626,-0.01872,0.30055,0.23118,399.1862183,-1.28584,-0.70741,-0.89841,0.80355,-2.83015,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
GILNGPKTMRSQDW-UHFFFAOYSA-N,(2-oxo-2-pyrrolidin-1-ylethyl) benzoate,O=C(COC(=O)c1ccccc1)N1CCCC1,NA,-1.568,NA,J,233.2664,58,140.059,-784.8913995,-784.9083922,-0.016992728,-784.672908,-784.690076,-0.017168,6.193,9.0751,-0.24644,-0.06433,0.25494,0.27136,462.1484375,-1.89354,-1.4809,-0.70132,0.82177,-2.37168,32,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
GIUGGRUEPHPVNR-UHFFFAOYSA-N,2-chlorodibenzo-p-dioxin,Clc1cc2Oc3c(Oc2cc1)cccc3,NA,-5.87,NA,F,218.6391,88,136.872,-1072.14252,-1072.147428,-0.00490822,-1072.022668,-1072.027857,-0.005189,2.1166,2.6647,-0.21463,-0.03711,0.28216,0.23955,391.8879089,-0.99347,-0.83318,-0.49794,0.27081,-1.00274,22,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
GKEUODMJRFDLJY-UHFFFAOYSA-N,1-methyl-9H-fluorene,Cc1c2c(c3c(cccc3)C2)ccc1,NA,-5.22,NA,F,180.2488,85,140.448,-540.7577798,-540.7628451,-0.005065368,-540.577622,-540.5828,-0.005178,0.9302,1.3895,-0.21902,-0.03926,0.28001,0.24394,389.6563416,0,-3.04076,-0.70254,0.27586,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
GKRZNOGGALENQJ-UHFFFAOYSA-N,N-carbamoylacetamide,O=C(NC(=O)C)N,NA,-0.9,NA,K,102.0926,216,76.526,-377.949081,-377.9634223,-0.014341295,-377.878446,-377.89329,-0.014844,2.4712,3.1576,-0.2848,-0.03272,0.28655,0.30972,263.699646,-1.37772,0.74361,-0.86517,0.81031,-2.92874,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GLDOVTGHNKAZLK-UHFFFAOYSA-N,octadecan-1-ol,OCCCCCCCCCCCCCCCCCC,NA,-8.400008,NA,C,270.4976,58,308.494,-784.0807419,-784.0872916,-0.006549654,-783.603471,-783.611396,-0.007925,1.7304,2.2719,-0.27707,-0.00088,0.31839,0.30199,703.4942627,-0.81235,-8.21587,-0.81235,0.51165,-0.81235,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GLUUGHFHXGJENI-UHFFFAOYSA-N,piperazine,N1CCNCC1,NA,1.07,NA,M,86.1364,110.5,79.101,-267.9406953,-267.94754,-0.006844622,-267.820794,-267.827688,-0.006894,0,0,-0.22381,0.00276,0.32203,0.24873,258.3045959,0,-1.133,-0.74513,0.40726,-1.49026,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
GMVJKSNPLYBFSO-UHFFFAOYSA-N,"1,2,3-tribromobenzene",Brc1c(Br)cccc1Br,NA,-5.054741,NA,F,314.8017,87.5,141.195,-7945.634489,-7945.638559,-0.00407019,-7945.596869,-7945.601009,-0.00414,2.3626,3.3683,-0.26134,-0.05687,0.2624,0.28626,325.346344,0,-1.14012,-0.23614,0.27478,0.3207,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
GNHMRTZZNHZDDM-UHFFFAOYSA-N,3-chloropropanenitrile,ClCCC#N,NA,-0.29,NA,K,89.5243,-51,57.304,-631.6686958,-631.6783127,-0.009616855,-631.632075,-631.641659,-0.009584,1.9521,2.376,-0.32334,-0.03011,0.28916,0.34826,242.634552,0,-0.69559,-0.5936,0.33244,-0.47827,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GOHBXWHNJHENRX-UHFFFAOYSA-N,5-methylchrysene,Cc1c2c(c3c(c1)cccc3)ccc1c2cccc1,NA,-6.589999,NA,E,242.3196,118,160.095,-732.5097338,-732.5161099,-0.006376039,-732.279935,-732.286369,-0.006434,0.3255,0.4906,-0.20908,-0.05874,0.26053,0.234,453.4184265,0,-3.49834,-0.70398,0.2536,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GPTONYMQFTZPKC-UHFFFAOYSA-N,4-amino-N-(5-methoxypyrimidin-2-yl)benzenesulfonamide,S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,NA,-2.58,NA,I,280.3008,214,192.147,-1269.21814,-1269.240933,-0.02279273,-1269.031796,-1269.054599,-0.022803,7.4807,10.5277,-0.22712,-0.05799,0.26128,0.25204,491.038208,-2.47703,-0.68442,-0.97778,2.32491,-2.90994,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
GRFNBEZIAWKNCO-UHFFFAOYSA-N,pyridin-3-ol,Oc1cnccc1,NA,-0.46,NA,K,95.1006,126.5,69.646,-323.516372,-323.5257555,-0.00938348,-323.452484,-323.46193,-0.009446,1.2459,1.7585,-0.24836,-0.04004,0.27923,0.27328,249.175705,-0.71774,-0.33341,-0.71774,0.52861,-1.19611,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
GRWAIJBHBCCLGS-UHFFFAOYSA-N,2-(tetrazol-1-yl)acetic acid,O=C(O)Cn1nnnc1,NA,0.083568,NA,L,128.0902,128,83.968,-486.1465522,-486.1672927,-0.020740526,-486.089315,-486.11022,-0.020905,3.9663,5.0942,-0.30893,-0.06899,0.25028,0.33385,272.2751465,-1.33111,0.65023,-0.71242,0.81571,-2.0816,13,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,Ofloxacin,Fc1c(N2CCN(C)CC2)c2OCC(C)n3c2c(c(=O)c(C(=O)O)c3)c1,NA,-1.2655,NA,J,361.3721,253.5,258.973,-1263.000809,-1263.027008,-0.02619921,-1262.68001,-1262.70644,-0.02643,10.1333,13.8815,-0.21368,-0.07695,0.24232,0.2386,564.1416016,-2.65135,-0.84724,-0.74423,0.80639,-4.43351,46,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
GTCAXTIRRLKXRU-UHFFFAOYSA-N,methyl carbamate,O=C(OC)N,NA,0.97,NA,L,75.067,56,62.312,-284.4544705,-284.46469,-0.010219466,-284.404144,-284.414689,-0.010545,2.5156,3.3131,-0.28491,-0.00403,0.31524,0.30983,226.4566956,-1.29729,0.58591,-0.88185,0.91693,-2.17914,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GVEPBJHOBDJJJI-UHFFFAOYSA-N,fluoranthene,c12c3cccc1c1c(c2ccc3)cccc1,NA,-5.945064,NA,F,202.255,108,135.942,-615.7697603,-615.7756513,-0.005890996,-615.598812,-615.604724,-0.005912,0.3515,0.5381,-0.22215,-0.0769,0.24237,0.24707,398.3213806,0,-2.52031,-0.27232,0.25519,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
GWDYJKXSUSPLEA-UHFFFAOYSA-N,"2-phenyl-1,3-benzoxazin-4-one",O=c1nc(c2ccccc2)oc2c1cccc2,NA,-4.61,NA,G,223.2306,123.5,145.63,-744.1499956,-744.1639769,-0.013981316,-743.99321,-744.007494,-0.014284,5.4003,8.1423,-0.26398,-0.08669,0.23258,0.2889,424.4527893,-1.11174,-0.68827,-0.63842,0.66164,-1.6897,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
GWOFUCIGLDBNKM-UHFFFAOYSA-N,"2,3-dihydroxypropyl 2-[(7-chloroquinolin-4-yl)amino]benzoate",Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,NA,-4.55319,NA,G,372.8073,169.5,264.782,-1604.91436,-1604.931077,-0.01671689,-1604.635184,-1604.65287,-0.017686,6.4026,9.4744,-0.22688,-0.08637,0.2329,0.2518,612.8497314,-2.85383,-1.07954,-0.82612,0.83606,-3.97592,43,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
GWUSZQUVEVMBPI-UHFFFAOYSA-N,"1-methyl-7-nitro-5-phenyl-3H-1,4-benzodiazepin-2-one",O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1,NA,-3.8,NA,H,295.297,156,236.27,-1007.402486,-1007.420666,-0.0181804,-1007.180207,-1007.198683,-0.018476,2.2207,3.1522,-0.25899,-0.11365,0.20562,0.28391,506.9263916,-1.46011,-1.55559,-0.64329,0.70102,-1.88127,35,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
GXEKYRXVRROBEV-UHFFFAOYSA-N,"7-oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",O=C(O)C1C(C(=O)O)C2OC1CC2,NA,-0.27,NA,K,186.164,144,116.813,-687.0183091,-687.0421761,-0.023867033,-686.872467,-686.896367,-0.0239,5.6036,7.8063,-0.28456,-0.04136,0.27791,0.30948,342.9440613,-3.30243,0.0283,-0.73461,0.83122,-3.30243,23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
GYFAGKUZYNFMBN-UHFFFAOYSA-N,"1,12-benzoperylene",c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,NA,-9.030118,NA,B,276.3368,278,184.135,-845.6780915,-845.6848942,-0.006802681,-845.451145,-845.458197,-0.007052,0.0497,0.0977,-0.20108,-0.07319,0.24608,0.226,460.6960754,0,-2.93873,-0.2654,0.25421,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GYMFBYTZOGMSQJ-UHFFFAOYSA-N,2-methylanthracene,Cc1cc2c(cc3c(c2)cccc3)cc1,NA,-6.959999,NA,E,192.2598,205,174.796,-578.8677124,-578.8730847,-0.005372266,-578.682981,-578.68839,-0.005409,0.5807,0.8214,-0.19949,-0.06855,0.25072,0.22441,409.2254028,0,-2.99799,-0.70169,0.25281,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GYTMHWVFKHLDEA-UHFFFAOYSA-N,4-(4-methylbenzoyl)thiophene-2-sulfonamide,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1,NA,-4.449,NA,G,281.3438,176,199.886,-1540.655187,-1540.674804,-0.01961664,-1540.490149,-1540.510157,-0.020008,4.7261,7.2087,-0.26079,-0.08687,0.2324,0.28571,486.0562134,-2.53133,-2.50792,-1.11912,2.30724,-0.77324,29,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1
HAPOJKSPCGLOOD-UHFFFAOYSA-N,11H-benzo[b]fluorene,c12c(cc3c(c4c(cccc4)C3)c1)cccc2,NA,-8.040005,NA,C,216.2818,212,144.795,-655.0882311,-655.0944464,-0.006215307,-654.890951,-654.897214,-0.006263,0.6647,1.0009,-0.21277,-0.05698,0.26229,0.23769,431.3045959,0,-3.05789,-0.48913,0.27686,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
HAXBIWFMXWRORI-UHFFFAOYSA-N,benzo[k]fluoranthene,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,NA,-8.489991,NA,C,252.3148,216,181.974,-769.4191086,-769.4261296,-0.007021044,-769.204905,-769.211945,-0.00704,0.2976,0.4191,-0.20778,-0.07487,0.2444,0.2327,462.9644775,0,-2.99143,-0.24894,0.25514,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
HCFSGRMEEXUOSS-UHFFFAOYSA-N,"17-acetyl-6,10,13,17-tetramethyl-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-3-one",O=C(C)C1(C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1,NA,-5.27,NA,F,340.5046,144,242.567,-1046.077964,-1046.093289,-0.01532534,-1045.625893,-1045.64221,-0.016317,5.4441,7.348,-0.20976,-0.09023,0.22904,0.23468,552.105896,-1.24595,-6.77474,-0.78133,0.62383,-1.24595,57,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
HDWIHXWEUNVBIY-UHFFFAOYSA-N,"3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1$l^{6},2,4-benzothiadiazine-7-sulfonamide",S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,NA,-3.59,NA,H,421.4085,214,225.052,-2140.997599,-2141.029265,-0.03166673,-2140.761372,-2140.794187,-0.032815,8.0099,11.107,-0.2504,-0.07585,0.24342,0.27532,595.7062378,-3.82735,-1.52246,-1.13258,2.30702,-2.96669,41,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
HDZGCSFEDULWCS-UHFFFAOYSA-N,methylhydrazine,N(N)C,NA,1.34,NA,M,46.0718,-52.2222,45.443,-151.1761094,-151.1841188,-0.008009457,-151.120311,-151.127883,-0.007572,0.405,0.3804,-0.20684,0.0062,0.32547,0.23176,197.1527557,0,-0.49789,-0.78317,0.40059,-1.3701,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HEZNVIYQEUHLNI-UHFFFAOYSA-N,[2-(ethylsulfanylmethyl)phenyl] N-methylcarbamate,S(CC)Cc1c(OC(=O)NC)cccc1,NA,-2.09,NA,I,225.305,33.4,144.165,-1031.639115,-1031.65368,-0.01456517,-1031.440999,-1031.456196,-0.015197,2.8013,3.6156,-0.2219,-0.02242,0.29685,0.24682,475.9816589,-1.26759,-2.20796,-0.70134,0.92555,-1.79809,30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
