StdInChIKey,Name,Smile,Sol,LogS,T,Sol_cat,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
AIKKULXCBHRFOS-UHFFFAOYSA-N,2-dimethoxyphosphinothioylsulfanyl-N-formyl-N-methylacetamide,S=P(SCC(=O)N(C=O)C)(OC)OC,NA,-2,NA,I,257.2589,25.5,187.646,-1729.330893,-1729.348565,-0.01767198,-1729.185455,-1729.203515,-0.01806,2.1818,3.0386,-0.24256,-0.05996,0.25931,0.26748,452.1102905,-2.96326,-0.5392,-0.8687,1.66285,-2.44008,26,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AIVXUNRQBRKFJO-UHFFFAOYSA-N,"7-oxo-5,6-dihydrothieno[3,2-b]thiopyran-2-sulfonamide",S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,NA,-3.494,NA,H,249.3172,213.5,159.168,-1745.895015,-1745.914557,-0.01954205,-1745.795695,-1745.815732,-0.020037,4.1153,6.2892,-0.24513,-0.10035,0.21892,0.27005,399.8743896,-2.52427,-1.89894,-1.11956,2.30716,-0.43318,21,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
AKUJBENLRBOFTD-UHFFFAOYSA-N,"[2-(9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate",FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O,NA,-4.9,NA,G,434.5037,247.5,320.451,-1484.43064,-1484.448354,-0.01771381,-1483.9685,-1483.989265,-0.020765,9.742,6.2891,-0.23839,-0.06529,0.25398,0.26331,654.8651123,-3.98881,-4.09394,-0.78721,0.82995,-4.40372,62,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
AMEKQAFGQBKLKX-UHFFFAOYSA-N,"6-methyl-4,4-dioxo-N-phenyl-2,3-dihydro-1,4-oxathiine-5-carboxamide",O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C,NA,-2.43,NA,I,267.299,120,162.031,-1218.908667,-1218.927536,-0.01886913,-1218.712783,-1218.7325,-0.019717,5.1204,7.3455,-0.22625,-0.05949,0.25978,0.25117,464.4553833,-3.12288,-2.11938,-0.97683,2.15043,-1.59607,31,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,OCCCCC,NA,-0.6,NA,K,88.1492,-78.45,91.172,-272.9895263,-272.995626,-0.006099705,-272.856081,-272.862556,-0.006475,1.666,2.176,-0.27732,-0.00047,0.3188,0.30224,294.401123,-0.81241,-2.22606,-0.81241,0.51176,-0.81241,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AMRQXHFXNZFDCH-UHFFFAOYSA-N,[1-(ethylamino)-1-oxopropan-2-yl] N-phenylcarbamate,O=C(OC(C(=O)NCC)C)Nc1ccccc1,NA,-1.83,NA,J,236.27,119,158.794,-802.1660479,-802.1798199,-0.013771932,-801.940573,-801.955526,-0.014953,3.0274,4.2351,-0.23787,-0.02826,0.29101,0.26279,484.9683228,-1.96916,-1.20178,-0.70903,0.94647,-3.25671,33,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ANJTVLIZGCUXLD-UHFFFAOYSA-N,"7,11-Diazatricyclo[7.3.1.0~2,7~]trideca-2,4-dien-6-one",O=c1n2c(ccc1)C1CNCC(C2)C1,NA,0.36,NA,L,190.2444,155,159.491,-612.3463661,-612.362029,-0.015662931,-612.141302,-612.156829,-0.015527,5.2024,7.4772,-0.2133,-0.04361,0.27566,0.23822,372.1828003,-0.73232,-1.88002,-0.73232,0.61383,-1.87584,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
APSMUYYLXZULMS-UHFFFAOYSA-N,2-bromonaphthalene,Brc1cc2c(cc1)cccc2,NA,-4.4,NA,G,207.0693,54,137.357,-2957.035794,-2957.040257,-0.00446347,-2956.931733,-2956.93626,-0.004527,2.0588,2.6932,-0.23084,-0.05956,0.25971,0.25576,342.4750671,0,-1.85373,-0.25819,0.26724,0.04734,18,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
APTGDJCKNMNFID-UHFFFAOYSA-N,"5-hydroxy-7,7-dioxo-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide",S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,NA,-1.539,NA,J,283.3318,174,174.328,-1897.472214,-1897.498449,-0.02623504,-1897.342774,-1897.369616,-0.026842,3.6906,6.027,-0.28171,-0.08864,0.23063,0.30663,426.3872681,-4.63938,-2.48361,-1.11835,2.30964,-0.69113,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
AQCHWTWZEMGIFD-UHFFFAOYSA-N,"7-chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2-dihydroquinazoline-6-sulfonamide",Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,NA,-3.78,NA,H,365.8337,256,252.408,-1867.639684,-1867.666672,-0.02698803,-1867.387351,-1867.413716,-0.026365,7.4857,12.9006,-0.24301,-0.06834,0.25093,0.26793,560.8483887,-2.62079,-2.2107,-1.1218,2.30194,-2.51864,40,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
