StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,Volume,HOMO,LsoluHsolv,LUMO,LsolvHsolu,N_atoms,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,1_2_amine,3_ring,4_ring,5_ring,6_ring,7_ring,8_ring,acidic_hydroxyl,alcohol,aldehyde,alkene,alkyne,amide,aromatic,azo,Br,carbonyl,carboxyl,Cl,C_aromatic,ester,ether_ester,F,halide,heterocyclic,H_bond_acceptor,H_bond_donor,I,ketone,nitrile,nitro,N_aromatic,O_aromatic,P,ring,S,sulfonamide,S_aromatic,thioamide,thiol,unfused_benzene
FRDAATYAJDYRNW-UHFFFAOYSA-N,3-methylpentan-3-ol,OC(CC)(CC)C,NA,-0.38,M,NA,102.176,-24,-0.129393219,-0.135294693,-0.005901473,0.008604,0.001472,-0.007132,1.9026,2.4323,190.195,-0.37428,0.43179,0.11252,0.3992,21,298.3013,-0.63439,-1.707862,-0.63439,0.428296,-0.63439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRQUNVLMWIYOLV-UHFFFAOYSA-N,"1,2,3-trichloro-4-methoxybenzene",Clc1c(Cl)c(OC)ccc1Cl,NA,-4.29,I,NA,211.4749,69.5,-5.39E-02,-6.08E-02,-0.00691366,0.004344,-0.003118,-0.007462,3.1477,3.9745,142.048,-0.35231,0.28957,-0.0297,0.37723,16,348.5650024,-0.4271,-0.338037,-0.4271,0.264235,-0.507127,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FSERHDPEOFYMMK-UHFFFAOYSA-N,"1-(5-bromo-1H-indol-3-yl)-N,N-dimethylmethanamine",Brc1cc2c(CN(C)C)c[nH]c2cc1,NA,-4.0552,I,NA,253.1411,160,6.46E-02,5.12E-02,-0.013360732,0.226246,0.213302,-0.012944,2.8177,3.531,244.344,-0.31438,0.31101,-0.00826,0.3393,27,420.2529602,0,-1.533494,-0.351821,0.29441,-0.625836,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
FSVJFNAIGNNGKK-UHFFFAOYSA-N,"2-(cyclohexanecarbonyl)-3,6,7,11b-tetrahydro-1H-pyrazino[2,1-a]isoquinolin-4-one",O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,NA,-3.193,J,NA,312.4108,136,-0.130475314,-0.147536242,-0.017060929,0.197528,0.178868,-0.01866,6.5211,9.456,385.392,-0.34465,0.31186,-0.00741,0.36957,47,538.2347412,-1.250389,-1.676452,-0.646166,0.602166,-2.041824,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FUKCEEDRHGCYHH-UHFFFAOYSA-N,[2-(butylamino)-2-oxoethyl] benzoate,O=C(NCCCC)COC(=O)c1ccccc1,NA,-2.759,K,NA,235.2822,69.5,-0.190539638,-0.203320623,-0.012780986,0.020673,0.006394,-0.014279,4.3465,5.6317,270.65,-0.36053,0.2847,-0.03457,0.38545,34,481.727478,-1.628283,-0.755954,-0.630551,0.656429,-2.082142,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FULZLIGZKMKICU-UHFFFAOYSA-N,phenylthiourea,S=C(Nc1ccccc1)N,NA,-1.77,L,NA,152.2136,149,5.77E-02,3.54E-02,-0.022293224,0.151364,0.127498,-0.023866,6.3279,9.8239,151.349,-0.31568,0.3125,-0.00677,0.3406,18,339.9440308,0,-0.127978,-0.771223,0.4836,-1.612511,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
FVSKHRXBFJPNKK-UHFFFAOYSA-N,propanenitrile,N#CCC,NA,0.28,N,NA,55.0792,-92,2.56E-02,1.83E-02,-0.0072591,0.066962,0.059291,-0.007671,3.8035,4.721,88.905,-0.45203,0.36789,0.04862,0.47695,9,217.6998749,0,-0.516685,-0.446833,0.184755,-0.344802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylacetamide",O=C(N(C)C)C,NA,1.11,O,NA,87.1212,-20,-8.49E-02,-9.72E-02,-0.012356469,0.000428,-0.012658,-0.013086,4.4723,6.1381,110.768,-0.34034,0.37129,0.05202,0.36526,15,266.7390747,-0.694814,-0.562462,-0.694814,0.634605,-1.020532,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FZBXGZBXWFNCQY-UHFFFAOYSA-N,[2-(azepan-1-yl)-2-oxoethyl] benzoate,O=C(COC(=O)c1ccccc1)N1CCCCCC1,NA,-2.542,K,NA,261.32,107.5,-0.176772756,-0.194143897,-0.017371141,0.069973,0.052493,-0.01748,3.7486,5.4025,252.922,-0.34734,0.30343,-0.01584,0.37226,38,502.7401733,-1.62599,-0.931414,-0.632497,0.664436,-1.987993,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FZSVSABTBYGOQH-UHFFFAOYSA-N,"[(3,3-dimethyl-1-methylsulfanylbutan-2-ylidene)amino] N-methylcarbamate",S(CC(=NOC(=O)NC)C(C)(C)C)C,NA,-1.62,L,NA,218.3134,57,-0.103585758,-0.123864296,-0.020278537,0.090605,0.068536,-0.022069,3.5471,6.6102,231.694,-0.31452,0.3232,0.00393,0.33944,32,450.0308838,-0.94522,-1.663393,-0.589212,0.704865,-1.612734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GABQNAFEZZDSCM-UHFFFAOYSA-N,3-phenylprop-2-enyl 2-aminobenzoate,O=C(OCC=Cc1ccccc1)c1c(N)cccc1,NA,-6.042,G,NA,253.3,61,-4.58E-02,-5.73E-02,-0.011474108,0.158784,0.146445,-0.012339,1.4417,1.9747,289.772,-0.32046,0.30472,-0.01455,0.34538,34,515.9929199,-1.0943,-1.100246,-0.623908,0.701979,-1.581713,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GBDZXPJXOMHESU-UHFFFAOYSA-N,"1,2,3,4-tetrachlorobenzene",Clc1c(Cl)c(Cl)ccc1Cl,NA,-4.63015,I,NA,215.8938,44.5,-5.12E-03,-9.11E-03,-0.003987427,0.018415,0.014627,-0.003788,2.3215,2.5978,104.044,-0.3568,0.28221,-0.03706,0.38172,12,324.924469,0,-0.282058,-0.12782,0.192574,-0.10309,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GBROPGWFBFCKAG-UHFFFAOYSA-N,picene,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,NA,-7.869988,F,NA,278.3526,367.5,0.136822614,0.129506782,-0.007315831,0.366556,0.358367,-0.008189,0.0139,0.095,305.307,-0.31413,0.28975,-0.02952,0.33905,36,494.150177,0,-2.268751,-0.171119,0.165142,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
