Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'Volume']",ET,0.737377262,0.551244598,89.36170213,77.65957447
"['Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MW', 'MP']",ET,0.414298298,0.817698249,79.78723404,62.76595745
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']",['Het_charges'],ET,0.726912708,0.565217159,88.29787234,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']",['Most_pos'],ET,0.734857865,0.555615241,89.36170213,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']",['Most_neg'],ET,0.736175882,0.556275476,89.36170213,79.78723404
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['C_charges'],ET,0.740372728,0.552511929,90.42553191,79.78723404
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['O_charges'],ET,0.737822676,0.555348157,89.36170213,80.85106383
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['SASA'],ET,0.732140049,0.556958729,90.42553191,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['LsolvHsolu'],ET,0.726151771,0.566178657,89.36170213,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['LsoluHsolv'],ET,0.720079426,0.570583569,88.29787234,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['solv_dip'],ET,0.736126352,0.556422911,89.36170213,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['DeltaG_sol'],ET,0.729091588,0.559291167,90.42553191,76.59574468
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['G_solv'],ET,0.743557964,0.547299433,89.36170213,78.72340426
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['Volume'],ET,0.731713383,0.558484334,90.42553191,76.59574468
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['MP'],ET,0.430311696,0.807023545,77.65957447,62.76595745
"['MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",['MW'],ET,0.744381781,0.547533157,89.36170213,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']",[],ET,0.737720218,0.554462169,87.23404255,77.65957447
