Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['SASA', 'O_charges']",ET,0.733532658,0.55902036,91.4893617,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['LsolvHsolu', 'Het_charges']",ET,0.71111277,0.578979262,87.23404255,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['LsolvHsolu', 'Most_pos']",ET,0.716376273,0.572795259,89.36170213,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['LsolvHsolu', 'Most_neg']",ET,0.719381792,0.570190032,91.4893617,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsolvHsolu', 'C_charges']",ET,0.732269041,0.561332442,88.29787234,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsolvHsolu', 'O_charges']",ET,0.722581814,0.569821758,89.36170213,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsolvHsolu', 'SASA']",ET,0.715968552,0.573740032,90.42553191,75.53191489
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['LsoluHsolv', 'Het_charges']",ET,0.699587262,0.592317018,88.29787234,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['LsoluHsolv', 'Most_pos']",ET,0.715824503,0.575107111,87.23404255,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['LsoluHsolv', 'Most_neg']",ET,0.722052037,0.568641179,89.36170213,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsoluHsolv', 'C_charges']",ET,0.721654415,0.568597117,88.29787234,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsoluHsolv', 'O_charges']",ET,0.726193393,0.567138854,88.29787234,77.65957447
